Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Channel 1 mean,Nucleus: Channel 1 sum,Nucleus: Channel 1 std dev,Nucleus: Channel 1 max,Nucleus: Channel 1 min,Nucleus: Channel 1 range,Nucleus: Channel 2 mean,Nucleus: Channel 2 sum,Nucleus: Channel 2 std dev,Nucleus: Channel 2 max,Nucleus: Channel 2 min,Nucleus: Channel 2 range,Nucleus: Channel 3 mean,Nucleus: Channel 3 sum,Nucleus: Channel 3 std dev,Nucleus: Channel 3 max,Nucleus: Channel 3 min,Nucleus: Channel 3 range,Nucleus: Channel 4 mean,Nucleus: Channel 4 sum,Nucleus: Channel 4 std dev,Nucleus: Channel 4 max,Nucleus: Channel 4 min,Nucleus: Channel 4 range
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,b8905443-ef0c-4eeb-9f82-a6cc1c25b577,Detection,,Ctip2+: Cux1-: RORB-,Annotation,Polygon,217.26,473.03,146.5654,47.6296,0.8119,17.0022,10.7955,0.7757,75.709,34599,47.5588,229,18,211,7.8687,3596,6.7577,29,0,29,11.4923,5252,5.7883,35,1,34,15.733,7190,5.7134,36,1,35
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,82ce5240-def2-418d-8269-48cf5b4ca310,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,102.8,472.85,74.574,31.6438,0.9359,11.2586,8.6018,0.6178,45.4678,10594,24.9394,164,13,151,2.8069,654,1.7149,9,0,9,11.1416,2596,4.5364,24,1,23,13.4807,3141,5.083,27,3,24
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,2ecb04d7-af2f-4a42-9774-2a889cb21639,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,48.49,474.94,83.6133,33.8861,0.915,11.7109,9.6733,0.5948,69.6591,18390,53.5622,217,14,203,3.8106,1006,2.7051,18,0,18,7.9621,2102,4.374,34,1,33,9.0455,2388,3.5815,21,1,20
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,0f286807-2b22-4192-960a-dc2ea33a9802,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,195.92,475.23,133.6522,46.7242,0.7693,18.0363,10.0727,0.8521,88.741,37005,47.1388,231,13,218,3.2278,1346,1.996,10,0,10,7.4676,3114,4.9127,30,0,30,16.0983,6713,8.442,55,3,52
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,dd0cd708-fd40-4518-8a7b-a1b342cbd961,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,233.77,475.06,69.7316,33.4519,0.7831,11.9247,7.8995,0.7996,53.6273,11798,29.8954,192,18,174,3.4364,756,2.1455,10,0,10,11.3682,2501,4.5306,34,2,32,14.0227,3085,4.3336,26,3,23
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,02ebe1e2-f6ad-4fdf-a7db-3777ed2277c3,Detection,,Ctip2-: Cux1+: RORB+,Annotation,Polygon,129.62,479.5,79.0937,32.1628,0.9608,10.6983,9.6816,0.2,72.828,18207,33.5032,205,25,180,7.86,1965,3.5782,17,1,16,28.004,7001,6.7737,41,8,33,20.1,5025,6.2769,36,4,32
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,ffc23490-3400-44f4-92b2-ec33024da4ad,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,266.28,478.74,75.2197,31.9218,0.9276,10.8037,9.5043,0.4773,52.9487,12390,34.3693,165,12,153,2.594,607,1.7289,7,0,7,8.765,2051,4.2508,35,1,34,11.2521,2633,5.709,27,1,26
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,5d3a68e9-9e62-4acc-a367-73f7106e599d,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,32.07,483.82,138.4946,48.2647,0.7471,18.4454,9.9547,0.8655,54.838,23690,28.8629,212,15,197,3.1574,1364,1.9082,10,0,10,9.5833,4140,5.9925,35,1,34,11.9977,5183,5.4315,28,0,28
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,80e2de1a-0805-4e68-94fc-cee45f40ba70,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,76.96,479.93,71.0229,31.4083,0.9047,10.7329,8.8935,0.5547,65.4253,14459,33.6463,204,26,178,3.2579,720,2.0386,9,0,9,13.7376,3036,4.2473,31,5,26,13.3122,2942,4.6805,27,2,25
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,94cfbe09-320e-4c07-9294-4333f142589e,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,3.464,482.25,56.8183,29.2672,0.8336,10.7869,7.9485,0.6023,25.0556,4510,8.2304,69,14,55,2.4778,446,1.7575,8,0,8,12.5056,2251,5.1028,33,2,31,9.8722,1777,3.2044,18,3,15
MAX_50981_1F_KO_S2L_Merged.tif_rotated.tif_subtracted.tif,a7f50db4-7892-4fe7-b1b3-c2b3a9749409,Detection,,Ctip2+: Cux1-: RORB-,Annotation,Polygon,19.66,481.36,49.3932,25.5827,0.9484,8.9096,6.8883,0.6464,39.1923,6114,16.6745,108,15,93,20.9615,3270,7.0371,38,3,35,6.2179,970,4.616,19,0,19,11.2628,1757,3.5252,20,3,17
