Genotype,Animal,Normalized distance from pia (%),Cell Counts
WT,L50981_4F,60.0,29.666666666666668
WT,L50981_4F,70.0,31.666666666666668
WT,L50981_4F,80.0,41.333333333333336
WT,L50981_4F,90.0,59.0
WT,L50981_5M,0.0,19.333333333333332
WT,L50981_5M,10.0,32.0
WT,L50981_5M,20.0,39.0
WT,L50981_5M,30.0,40.666666666666664
WT,L50981_5M,40.0,34.333333333333336
WT,L50981_5M,50.0,36.333333333333336
WT,L50981_5M,60.0,46.333333333333336
WT,L50981_5M,70.0,37.666666666666664
WT,L50981_5M,80.0,49.333333333333336
WT,L50981_5M,90.0,110.0
WT,L52184_3M,0.0,38.333333333333336
WT,L52184_3M,10.0,68.0
WT,L52184_3M,20.0,56.666666666666664
WT,L52184_3M,30.0,49.0
WT,L52184_3M,40.0,58.666666666666664
WT,L52184_3M,50.0,50.333333333333336
WT,L52184_3M,60.0,52.333333333333336
WT,L52184_3M,70.0,47.333333333333336
WT,L52184_3M,80.0,76.0
WT,L52184_3M,90.0,193.66666666666666
