,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
8,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,493.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,336.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,88.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,318.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,460.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,459.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,485.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,401.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,372.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,420.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,440.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,306.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,111.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,413.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,338.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,344.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,383.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,348.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,341.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,368.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,448.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,430.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,158.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,422.0,10.0,L38102-11,L38102-11,F,WT,21
