file,Cells,Area (um^2),"Cells per 40,000 um^2"
Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,517,1208493.879296,17.0
Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,557,1208493.879296,18.0
Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,593,1208493.879296,20.0
Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.csv,637,1208493.879296,21.0
Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,684,1208493.879296,23.0
Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,762,1208493.879296,25.0
Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,470,1208493.879296,16.0
Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,547,1208493.879296,18.0
Seg_Sox9_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,603,1208493.879296,20.0
Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,749,1208493.879296,25.0
Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,657,1208493.879296,22.0
Seg_Sox9_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,739,1208493.879296,24.0
