file,Cells,Area (um^2),"Cells per 40,000 um^2"
Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,451,1208493.879296,15.0
Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,456,1208493.879296,15.0
Seg_Olig2_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,481,1208493.879296,16.0
Seg_Olig2_Stitched-L40720_2M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,309,1208493.879296,10.0
Seg_Olig2_Stitched-L40720_2M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,453,1208493.879296,15.0
Seg_Olig2_Stitched-L40720_2M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,498,1208493.879296,16.0
Seg_Olig2_Stitched-L40720_5F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,395,1208493.879296,13.0
Seg_Olig2_Stitched-L40720_5F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,507,1208493.879296,17.0
Seg_Olig2_Stitched-L40720_5F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,406,1208493.879296,13.0
Seg_Olig2_Stitched-L40720_7F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,445,1208493.879296,15.0
Seg_Olig2_Stitched-L40720_7F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,602,1208493.879296,20.0
Seg_Olig2_Stitched-L40720_7F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,405,1208493.879296,13.0
Seg_Olig2_Stitched-L41180_2F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,349,1208493.879296,12.0
Seg_Olig2_Stitched-L41180_2F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,279,1208493.879296,9.0
Seg_Olig2_Stitched-L41180_2F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,446,1208493.879296,15.0
Seg_Olig2_Stitched-L41180_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,125,1208493.879296,4.0
Seg_Olig2_Stitched-L41180_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,274,1208493.879296,9.0
Seg_Olig2_Stitched-L41180_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,334,1208493.879296,11.0
Seg_Olig2_Stitched-L50981_1F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,143,1208493.879296,5.0
Seg_Olig2_Stitched-L50981_1F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,485,1208493.879296,16.0
Seg_Olig2_Stitched-L50981_1F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,423,1208493.879296,14.0
Seg_Olig2_Stitched-L50981_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,264,1208493.879296,9.0
Seg_Olig2_Stitched-L50981_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,281,1208493.879296,9.0
Seg_Olig2_Stitched-L50981_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,297,1208493.879296,10.0
Seg_Olig2_Stitched-L50981_4F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,194,1208493.879296,6.0
Seg_Olig2_Stitched-L50981_4F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,204,1208493.879296,7.0
Seg_Olig2_Stitched-L50981_4F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,231,1208493.879296,8.0
Seg_Olig2_Stitched-L50981_5M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,278,1208493.879296,9.0
Seg_Olig2_Stitched-L50981_5M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,266,1208493.879296,9.0
Seg_Olig2_Stitched-L50981_5M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,271,1208493.879296,9.0
Seg_Olig2_Stitched-L52184_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,363,1208493.879296,12.0
Seg_Olig2_Stitched-L52184_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,452,1208493.879296,15.0
