,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
8,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,53.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,139.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,15.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,59.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,48.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,60.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,63.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,61.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,65.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,65.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,60.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,141.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,68.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,71.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,63.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,72.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,65.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,76.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,73.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,62.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,60.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,74.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_Sox9_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,39.0,0.0,L38102-11,L38102-11,F,WT,21
