#Selection name: Selection 1
#Area (µm^2): 4378331.15
Cell ID,Cluster,Transcripts,Area (µm^2)
mfnpoljf-1,Cluster 5,0,154.07
bjjadaph-1,Cluster 5,0,154.39
bjjfpoim-1,Cluster 10,0,177.01
mfnhmceg-1,Cluster 5,0,170.74
mfnhedbe-1,Cluster 10,0,245.74
mfngfjhe-1,Cluster 10,0,167.89
mfpledhi-1,Cluster 11,0,40.28
mfnofnnj-1,Cluster 5,0,173.08
mfnfgicd-1,Cluster 10,0,109.19
bjkalfpa-1,Cluster 10,0,179.27
mfnekobl-1,Cluster 10,0,150.73
bjjpjbmi-1,Cluster 10,0,231.92
mfnbjlcm-1,Cluster 11,0,72.25
mfnbojda-1,Cluster 10,0,111.99
mgaaeakn-1,Cluster 10,0,196.70
mfneeejh-1,Cluster 5,0,89.59
bjkapkdc-1,Cluster 5,0,175.52
bjkbnjaf-1,Cluster 10,0,180.17
bjkcbkch-1,Cluster 10,0,206.27
bjkcpnih-1,Cluster 10,0,239.01
obndabbl-1,Cluster 3,0,7.36
obndcpnd-1,Cluster 5,0,119.21
obndjbkg-1,Cluster 10,0,109.14
mfnmldnp-1,Cluster 5,0,106.43
bjkedieb-1,Cluster 5,0,170.15
bjkhinee-1,Cluster 10,0,194.26
mfneigdn-1,Cluster 5,0,171.86
ohbndjdp-1,Cluster 2,0,85.93
mfmgnaib-1,Cluster 3,0,30.30
mfjjbkdf-1,Cluster 5,0,42.04
mfpiclmg-1,Cluster 5,0,269.67
bjjgbbcm-1,Cluster 1,0,313.66
mfnmbanj-1,Cluster 5,0,152.94
mfodalin-1,Cluster 10,0,189.93
mfodapid-1,Cluster 10,0,299.07
bjjjkldh-1,Cluster 10,0,212.42
mfnlblgb-1,Cluster 5,0,128.88
mgaaennd-1,Cluster 10,0,214.58
mfmkemap-1,Cluster 5,0,131.81
mfmjeale-1,Cluster 5,0,49.49
bjkabhhn-1,Cluster 10,0,194.71
bjkgcioh-1,Cluster 5,0,143.01
mfmhbkoj-1,Cluster 5,0,98.44
mfpcdbml-1,Cluster 10,0,158.45
mfogljhp-1,Cluster 3,0,97.85
mfnfokld-1,Cluster 5,0,170.51
mgpnoeob-1,Cluster 5,0,107.11
bkedhfml-1,Cluster 10,0,224.02
bkelbjnd-1,Cluster 5,0,190.06
mgpnkiea-1,Cluster 1,0,153.35
mgplppmf-1,Cluster 10,0,201.31
bkedallg-1,Cluster 10,0,205.28
bkehcklg-1,Cluster 10,0,232.15
bkemelaj-1,Cluster 5,0,155.83
mgpllbla-1,Cluster 5,0,115.24
bkehkgfh-1,Cluster 5,0,136.01
bkehlpol-1,Cluster 10,0,212.55
mfmcjkci-1,Cluster 5,0,102.64
obokejod-1,Cluster 15,0,88.46
mgpodang-1,Cluster 5,0,143.19
bkekjjel-1,Cluster 5,0,196.57
obolbdnn-1,Cluster 10,0,104.72
oboipgjo-1,Cluster 10,0,103.45
mhaalned-1,Cluster 8,0,63.94
mgpllipc-1,Cluster 14,0,136.87
mgagnela-1,Cluster 10,0,137.64
mfmahflg-1,Cluster 8,0,22.80
mgafhidb-1,Cluster 10,0,193.95
mfilchad-1,Cluster 11,0,75.32
mgafgnhf-1,Cluster 10,0,220.41
obojfeed-1,Cluster 10,0,104.76
mflpjegc-1,Cluster 10,0,191.19
bkeghgpd-1,Cluster 10,0,210.47
bkeenjlm-1,Cluster 10,0,239.01
mhaapdan-1,Cluster 8,0,47.46
mgpnomdp-1,Cluster 5,0,135.60
bkeemdkh-1,Cluster 10,0,162.11
bkefamhp-1,Cluster 10,0,176.02
mgaepmbg-1,Cluster 8,0,54.05
mfmdbihp-1,Cluster 15,0,102.64
bkedlnaf-1,Cluster 10,0,229.85
mflolggp-1,Cluster 5,0,216.93
mfncgcka-1,Cluster 3,0,43.62
bjipmfip-1,Cluster 5,0,175.93
mfncbdee-1,Cluster 5,0,131.72
obndmepc-1,Cluster 11,0,35.85
mgaddfnh-1,Cluster 10,0,123.73
bkeehfci-1,Cluster 10,0,203.52
bjjakehe-1,Cluster 5,0,143.82
mflopbph-1,Cluster 10,0,108.87
oijclmhe-1,Cluster 5,0,255.31
bjjkljih-1,Cluster 10,0,205.24
mflpcakj-1,Cluster 14,0,75.32
mflnhkmo-1,Cluster 8,0,52.25
mfpnobff-1,Cluster 10,0,214.81
mfildfpi-1,Cluster 3,0,39.87
mfloidcc-1,Cluster 5,0,78.62
bjjklnoo-1,Cluster 5,0,171.82
bjhmmoon-1,Cluster 10,0,207.76
mfijonib-1,Cluster 5,0,139.35
mfnechgo-1,Cluster 3,0,13.32
mfnidcgb-1,Cluster 8,0,65.12
mfniaofk-1,Cluster 5,0,222.89
bjjgmbcl-1,Cluster 10,0,219.32
mgeolbpo-1,Cluster 10,0,157.28
mgfjpdgp-1,Cluster 10,0,157.87
mgfijbel-1,Cluster 10,0,159.00
bkdfklkn-1,Cluster 10,0,189.07
