#Selection name: Selection 10
#Area (µm^2): 1604147.56
Cell ID,Cluster,Transcripts,Area (µm^2)
mgknimhm-1,Cluster 17,6,129.42
mghjamji-1,Cluster 18,5,76.36
bdoafene-1,Cluster 13,12,182.48
odbabhnk-1,Cluster 17,0,88.78
mglanpcc-1,Cluster 2,0,55.45
bdpfagnh-1,Cluster 3,1,179.04
bdpgjofj-1,Cluster 13,2,159.22
mgkpbboi-1,Cluster 17,0,177.51
bdpgimma-1,Cluster 13,0,180.13
mgkiniim-1,Cluster 13,2,129.69
mghjldph-1,Cluster 2,0,117.14
mglafdof-1,Cluster 17,2,127.93
mglbbojl-1,Cluster 2,0,46.47
mglbdfbm-1,Cluster 1,0,31.56
mgkjijam-1,Cluster 17,2,104.99
mglaahjh-1,Cluster 13,1,96.86
mghhpccc-1,Cluster 3,0,54.50
bdphdiod-1,Cluster 13,1,160.89
mghhmnci-1,Cluster 2,0,52.61
mggmkbdl-1,Cluster 2,1,32.20
mghbcemd-1,Cluster 7,1,71.12
mghdaoln-1,Cluster 8,1,120.12
bdphccfi-1,Cluster 13,1,229.80
bdpgnhpc-1,Cluster 32,1,122.01
mgghhckl-1,Cluster 2,0,113.57
bdpehgbo-1,Cluster 2,4,164.78
mghbbiie-1,Cluster 2,0,42.00
bdpgnfan-1,Cluster 32,0,106.30
mghbnaji-1,Cluster 1,1,94.38
mggmfboa-1,Cluster 2,4,128.11
ohekogch-1,Cluster 3,0,17.48
mghbodig-1,Cluster 2,3,88.60
bdpeddpo-1,Cluster 13,6,193.99
mghdkbnk-1,Cluster 2,0,43.08
mghfcdam-1,Cluster 2,0,66.97
mghblpkh-1,Cluster 1,0,15.31
mghkehcb-1,Cluster 3,0,100.65
mghbjikl-1,Cluster 3,0,48.32
odhmhcom-1,Cluster 10,0,96.36
beiomnbb-1,Cluster 17,5,165.68
mbnimgfb-1,Cluster 9,4,88.60
mcdaanjm-1,Cluster 3,0,58.66
bechdfpa-1,Cluster 10,14,165.50
mcaoilii-1,Cluster 10,4,165.23
mbcdkdmo-1,Cluster 9,12,181.08
mcaohonl-1,Cluster 10,10,173.40
becgelae-1,Cluster 10,2,210.43
maohmljb-1,Cluster 1,0,31.79
bechnbem-1,Cluster 10,0,188.93
bechknfc-1,Cluster 10,16,145.90
bedeohhi-1,Cluster 9,5,141.25
becjacfb-1,Cluster 10,7,189.20
mccnoeld-1,Cluster 9,5,114.79
mcckbogc-1,Cluster 9,6,92.80
ockppbng-1,Cluster 3,0,12.06
beegnidm-1,Cluster 9,6,158.63
mcckjmad-1,Cluster 9,10,178.46
mccjgoph-1,Cluster 9,12,151.59
beednlgd-1,Cluster 9,19,146.44
mbgcfain-1,Cluster 9,5,127.52
beebcpgh-1,Cluster 9,18,228.22
mbfnkidd-1,Cluster 18,2,118.90
mccjnokk-1,Cluster 9,10,106.57
mbgiaimm-1,Cluster 2,0,44.70
mbgbfdgo-1,Cluster 9,3,80.97
ocjpfonb-1,Cluster 27,0,59.29
mbfjmmdc-1,Cluster 9,3,130.10
mbggdlkp-1,Cluster 12,0,110.63
mbgfbpbb-1,Cluster 9,14,154.57
beeefjca-1,Cluster 28,1,167.85
mcchikbl-1,Cluster 9,3,146.04
mbghklib-1,Cluster 1,0,81.87
mbfgpbgm-1,Cluster 1,3,100.65
mbghenbf-1,Cluster 9,1,56.49
mcchlpcl-1,Cluster 3,0,48.68
mbfkkimn-1,Cluster 9,11,194.89
bedcilam-1,Cluster 9,8,150.10
oclbdbkg-1,Cluster 10,1,38.07
mbfiedkj-1,Cluster 9,1,63.99
beeffbib-1,Cluster 28,1,143.42
ohcgnbme-1,Cluster 9,0,117.23
mcampjaf-1,Cluster 10,3,112.98
mcanpibi-1,Cluster 28,0,133.89
ocjddbjk-1,Cluster 19,0,14.36
mcbademk-1,Cluster 10,0,146.13
mandjgma-1,Cluster 28,0,119.53
ockmebii-1,Cluster 10,6,85.80
mcbcnkbi-1,Cluster 8,1,41.05
becmloej-1,Cluster 10,1,158.41
becmeanj-1,Cluster 10,0,188.03
mcbfkgmc-1,Cluster 10,0,130.55
mcangoja-1,Cluster 7,0,58.25
mcbbjigl-1,Cluster 10,8,116.46
mancdedo-1,Cluster 8,0,38.74
manicbcc-1,Cluster 4,0,89.14
mcbajdjl-1,Cluster 10,0,152.45
manbmfea-1,Cluster 35,0,93.02
becmngbk-1,Cluster 10,4,157.10
mangpiih-1,Cluster 4,0,132.80
beclimnj-1,Cluster 10,5,221.40
mcanphkm-1,Cluster 2,0,13.68
mcahmkmo-1,Cluster 10,3,129.19
mcajcmii-1,Cluster 10,3,185.82
ohckhdid-1,Cluster 1,0,60.87
mcaocdom-1,Cluster 18,1,116.55
mcaobjfe-1,Cluster 18,2,131.59
mcbgpeem-1,Cluster 10,0,130.55
mcbhakmi-1,Cluster 10,7,190.69
becfcfka-1,Cluster 10,0,177.64
manhhlld-1,Cluster 1,0,52.02
mcbgeolf-1,Cluster 3,0,77.67
mancaffe-1,Cluster 10,0,166.04
mbbigmgn-1,Cluster 10,0,160.40
mcbboepi-1,Cluster 6,0,172.95
mandippc-1,Cluster 8,0,65.97
bechhkkf-1,Cluster 18,5,162.97
mcapndbm-1,Cluster 1,1,84.98
mcapehbh-1,Cluster 35,3,64.44
mcaigkpo-1,Cluster 10,7,160.17
mcahooon-1,Cluster 10,7,157.87
mcbhclnk-1,Cluster 10,3,172.95
becfdepj-1,Cluster 10,1,215.17
mcaodehg-1,Cluster 18,0,74.10
mcaoinod-1,Cluster 10,6,192.41
becfgdfk-1,Cluster 10,7,141.56
becfhmom-1,Cluster 10,10,196.16
mcakohdo-1,Cluster 10,7,116.05
mcahpded-1,Cluster 10,8,176.43
ocknbcog-1,Cluster 10,1,107.11
mcajeohd-1,Cluster 8,1,54.23
mcbieijb-1,Cluster 1,0,121.38
mamnnckd-1,Cluster 4,0,60.96
mcagoapj-1,Cluster 1,0,68.19
mamnmeae-1,Cluster 4,0,41.18
mamnfnic-1,Cluster 4,0,60.92
befbkife-1,Cluster 10,7,186.04
mamiokpl-1,Cluster 1,0,99.71
ockikakj-1,Cluster 10,2,96.63
mcbeaboc-1,Cluster 10,0,174.57
mcaafhll-1,Cluster 7,0,23.71
mcabnden-1,Cluster 10,0,192.32
mcaglgfn-1,Cluster 7,0,45.20
mcagkogb-1,Cluster 7,0,70.62
mcbilnjb-1,Cluster 10,1,226.32
ockjphle-1,Cluster 10,0,112.94
mamkajlp-1,Cluster 28,0,126.08
mbpnfejb-1,Cluster 10,1,139.67
beeopibl-1,Cluster 10,5,226.19
ockjbign-1,Cluster 10,0,101.06
ohcdphfe-1,Cluster 8,2,239.15
befaefho-1,Cluster 11,13,174.39
mcbehekb-1,Cluster 19,0,44.12
mcagbfhn-1,Cluster 3,0,18.51
manaejgn-1,Cluster 4,0,58.25
mcbcpepk-1,Cluster 8,1,70.13
befcahoh-1,Cluster 10,13,169.25
beepfehp-1,Cluster 3,0,90.58
befdadpc-1,Cluster 10,6,197.65
befabbad-1,Cluster 10,3,168.61
mcbdepbo-1,Cluster 10,7,184.10
mcanfbba-1,Cluster 7,0,59.74
mampogde-1,Cluster 4,0,53.19
mcagdkkb-1,Cluster 10,6,81.69
mcagdcol-1,Cluster 1,0,160.21
mamplglf-1,Cluster 4,0,39.65
mbpomiij-1,Cluster 10,5,179.54
mamphgao-1,Cluster 4,0,86.56
ocklabim-1,Cluster 10,5,109.37
