#Selection name: Selection 1
#Area (µm^2): 3283780.88
Cell ID,Cluster,Transcripts,Area (µm^2)
lmdigknp-1,Cluster 2,0,53.69
lmafkkfj-1,Cluster 7,0,133.84
akchmcgg-1,Cluster 18,0,155.43
akceaiji-1,Cluster 10,0,168.52
lmfobpml-1,Cluster 19,0,29.71
lmfmkfgn-1,Cluster 19,0,45.52
lmfmmbia-1,Cluster 1,0,70.99
lmfoeldn-1,Cluster 3,0,90.67
lmfogpli-1,Cluster 1,0,111.13
lmfmplid-1,Cluster 19,0,62.95
lmkfbnbk-1,Cluster 28,0,109.68
lmkbbfnf-1,Cluster 1,1,118.35
akceighi-1,Cluster 18,0,164.64
lmnbmmna-1,Cluster 1,0,68.28
lmnbdkoe-1,Cluster 10,0,120.61
lmmignjn-1,Cluster 35,0,71.39
lmmcjemk-1,Cluster 10,0,182.43
lmmpdifl-1,Cluster 10,0,106.98
akcehgga-1,Cluster 10,0,186.81
lmmcbpll-1,Cluster 3,0,26.28
lmmpkehl-1,Cluster 8,0,84.76
akcjkjnk-1,Cluster 25,0,191.06
lmphephl-1,Cluster 9,0,136.33
lmpicpme-1,Cluster 9,0,129.55
lmnfhmnd-1,Cluster 9,2,143.42
akgikhce-1,Cluster 10,1,167.98
lmmjkpaj-1,Cluster 10,0,265.38
lmfinicf-1,Cluster 31,0,127.16
lmilieof-1,Cluster 38,0,47.01
lmkhfhnc-1,Cluster 10,1,150.51
lmkjaamm-1,Cluster 11,0,62.14
lmilhieg-1,Cluster 38,0,32.42
lmkhcmpe-1,Cluster 1,0,39.60
lmidnnpb-1,Cluster 3,0,49.58
lmilefna-1,Cluster 4,0,28.58
occlefje-1,Cluster 10,0,84.71
lmkiijoj-1,Cluster 10,0,145.63
lmifnhjd-1,Cluster 3,0,28.90
lmkhamdf-1,Cluster 10,1,169.47
ocdbcppo-1,Cluster 3,0,7.41
occlpach-1,Cluster 10,1,134.52
ajoenlgf-1,Cluster 10,0,176.34
lmjkdepm-1,Cluster 10,0,173.90
lmmjbebm-1,Cluster 10,0,157.64
lmjghgjf-1,Cluster 11,1,175.03
lmjgfeaf-1,Cluster 12,0,73.97
lmjlljlc-1,Cluster 3,0,80.69
lmkhcbho-1,Cluster 3,0,56.31
lmjdnaak-1,Cluster 35,0,101.29
lmjgkkjc-1,Cluster 8,0,62.36
ajoejjdl-1,Cluster 10,0,163.33
lmjfobjp-1,Cluster 28,0,106.93
occplmbo-1,Cluster 4,0,44.39
lmgkhipo-1,Cluster 4,0,81.55
ocdalbgl-1,Cluster 28,0,45.29
lmjjbnme-1,Cluster 4,0,218.96
ajoedghj-1,Cluster 10,0,177.83
lmmgfkle-1,Cluster 3,0,15.44
lmjkhjfe-1,Cluster 10,0,139.04
lmgdhpml-1,Cluster 38,0,37.89
lmgbpemd-1,Cluster 1,1,93.02
lmmhhkkh-1,Cluster 10,0,213.81
ajoecokf-1,Cluster 4,0,51.57
lmjmgkek-1,Cluster 10,2,179.09
lmjepfno-1,Cluster 1,0,99.89
lmjgogdi-1,Cluster 10,0,133.44
lmjepbde-1,Cluster 8,0,64.84
lmjfappp-1,Cluster 8,0,70.94
lmhngoll-1,Cluster 1,0,164.19
lmhpfogl-1,Cluster 1,0,44.12
lmhpjlio-1,Cluster 3,0,37.57
lmhpmcfm-1,Cluster 7,0,28.36
lmiadllf-1,Cluster 1,0,71.62
lmicnohb-1,Cluster 3,0,39.11
lmfjcdan-1,Cluster 10,0,135.56
lmijcnda-1,Cluster 38,0,36.31
akcegneh-1,Cluster 10,0,152.63
lmjapdkg-1,Cluster 3,0,66.29
lmjgfmnb-1,Cluster 1,0,76.31
lmjbibgb-1,Cluster 1,0,34.45
lmjcjaal-1,Cluster 1,0,114.20
lmjfnapb-1,Cluster 1,0,80.02
lmkhfbfa-1,Cluster 3,0,60.69
lmjkeogk-1,Cluster 35,0,151.82
lmkialkb-1,Cluster 1,0,101.01
lmkhdohm-1,Cluster 8,0,37.12
ocdapdlm-1,Cluster 10,0,124.27
lmjiekpk-1,Cluster 28,0,105.62
lmmgeaik-1,Cluster 10,0,158.54
lnflnbkj-1,Cluster 10,0,134.25
lngenkoi-1,Cluster 1,0,40.23
lngbhaam-1,Cluster 1,0,34.05
lnglkncb-1,Cluster 10,0,212.69
ohbcpkeo-1,Cluster 1,0,176.79
lngadbem-1,Cluster 8,0,29.80
lnfjdiaj-1,Cluster 10,0,118.85
lngaimcb-1,Cluster 1,0,39.11
lnglhjmj-1,Cluster 14,0,119.03
lnfnacoc-1,Cluster 1,0,40.73
akfnlopa-1,Cluster 10,0,152.09
lngigbhj-1,Cluster 3,0,36.40
akgbihbj-1,Cluster 10,0,111.81
lnfkkndi-1,Cluster 35,1,88.05
lnghpfkn-1,Cluster 1,0,24.61
lnfllnnb-1,Cluster 1,0,84.89
lngianpi-1,Cluster 11,0,61.28
lngcebgb-1,Cluster 4,0,85.93
lnfjjlni-1,Cluster 18,0,95.91
lngdhffn-1,Cluster 4,0,24.20
akgdbjac-1,Cluster 20,0,54.96
akgdjmkf-1,Cluster 28,0,135.92
lnfjgkcm-1,Cluster 10,0,111.36
akgalkfb-1,Cluster 10,0,155.07
lnfkcfcf-1,Cluster 3,0,39.56
lnfjbaac-1,Cluster 10,0,199.00
akgddcel-1,Cluster 10,0,142.15
akgbhach-1,Cluster 35,0,125.76
akfohjnp-1,Cluster 10,1,142.60
lnfjcmgd-1,Cluster 12,0,101.01
lnflblck-1,Cluster 10,0,128.38
lnfmaiof-1,Cluster 18,0,127.25
lnfkefdg-1,Cluster 3,0,93.74
lngblfod-1,Cluster 4,0,36.40
lmibfmik-1,Cluster 3,0,49.04
lmkgonge-1,Cluster 10,0,143.73
lmigbcbi-1,Cluster 4,0,77.71
lmkfeeen-1,Cluster 3,0,15.99
lmemakhi-1,Cluster 10,0,115.37
lmikkdgg-1,Cluster 38,0,53.74
lmelhhgd-1,Cluster 10,0,70.71
lmkjhjmp-1,Cluster 1,0,174.89
lmkgnkfh-1,Cluster 19,0,35.31
ajoofefd-1,Cluster 10,0,166.40
lmibhmgf-1,Cluster 28,0,66.20
lmhlibcn-1,Cluster 3,0,34.05
lmigchjj-1,Cluster 4,0,87.47
lmendbbg-1,Cluster 10,0,159.00
lmigcjen-1,Cluster 1,0,90.45
lmelhmel-1,Cluster 10,0,144.32
lmhldich-1,Cluster 8,0,31.43
lmibbake-1,Cluster 19,0,67.06
lmemnboj-1,Cluster 10,0,136.91
lmhmdgid-1,Cluster 19,0,39.33
lmicdnki-1,Cluster 3,0,140.98
lmidoeip-1,Cluster 28,0,101.87
ajomnicm-1,Cluster 10,0,152.13
ajomndef-1,Cluster 1,0,145.09
lmiecaco-1,Cluster 1,0,59.56
lmiakkmf-1,Cluster 8,0,50.76
ajolejdb-1,Cluster 10,0,145.95
ajoldfec-1,Cluster 10,0,155.07
lmkkbhph-1,Cluster 10,0,156.20
ajoecndg-1,Cluster 10,0,128.29
ocdflmki-1,Cluster 9,0,128.29
lmfcfhdp-1,Cluster 9,0,60.06
lmfcpnpf-1,Cluster 1,0,109.50
ajocncaa-1,Cluster 9,0,197.24
lmflbgeo-1,Cluster 11,0,122.19
lmfjecbd-1,Cluster 10,0,141.52
ajofjpgj-1,Cluster 10,1,155.65
lmfckcko-1,Cluster 27,0,109.64
ajpigoio-1,Cluster 9,0,160.58
ajofpgcl-1,Cluster 18,0,180.31
lmlokhpk-1,Cluster 1,0,96.32
ajpijcja-1,Cluster 9,0,141.29
lmfjmakm-1,Cluster 3,0,21.58
lmndgbmf-1,Cluster 3,0,36.03
lmlokggh-1,Cluster 10,0,97.81
ocddpikj-1,Cluster 10,0,119.94
ajodiodi-1,Cluster 10,1,187.94
occmiooc-1,Cluster 10,0,124.41
lmfkmgml-1,Cluster 10,0,192.73
ajodlidf-1,Cluster 18,0,155.25
lmfdapmb-1,Cluster 18,0,118.81
lmomiaoe-1,Cluster 10,0,111.58
