#Selection name: Selection 3
#Area (µm^2): 3220038.54
Cell ID,Cluster,Transcripts,Area (µm^2)
fipilege-1,Cluster 32,1,148.65
fmnfnbdl-1,Cluster 11,1,151.41
flekmpib-1,Cluster 9,5,138.18
fjgboncf-1,Cluster 8,3,126.30
fkhcmnoa-1,Cluster 7,0,93.52
allglocm-1,Cluster 9,1,190.06
flagaenb-1,Cluster 9,2,157.10
flaglhfe-1,Cluster 3,0,17.16
alkfpigm-1,Cluster 1,0,94.06
alklfghi-1,Cluster 9,7,172.54
fkpingfc-1,Cluster 9,1,165.27
ohjfhcpa-1,Cluster 15,0,175.25
fkpjhbmf-1,Cluster 16,0,158.14
alkgngde-1,Cluster 9,0,222.12
fkpbjiac-1,Cluster 6,0,66.92
fkpjejdn-1,Cluster 7,0,44.80
fkpipjfj-1,Cluster 3,0,63.13
fkpcmncp-1,Cluster 6,0,123.86
fknhenje-1,Cluster 7,0,46.06
oclokgnm-1,Cluster 3,0,117.99
nekgdloh-1,Cluster 21,0,25.92
fkolmlio-1,Cluster 15,0,62.36
nekdidpi-1,Cluster 9,3,71.12
fladheek-1,Cluster 9,11,328.78
fkpblile-1,Cluster 3,0,46.15
alkfialk-1,Cluster 9,5,214.76
fkomomjb-1,Cluster 21,0,65.48
fkpmofeb-1,Cluster 9,3,81.33
flbblokd-1,Cluster 20,2,189.70
nekembkf-1,Cluster 9,2,39.96
nekjaafg-1,Cluster 4,1,45.92
fkpkjgod-1,Cluster 32,1,136.46
ocmaafel-1,Cluster 1,0,181.98
flbbljoc-1,Cluster 9,5,173.26
alkggdfa-1,Cluster 9,10,189.48
nekiccie-1,Cluster 10,1,61.01
fknoimeb-1,Cluster 1,1,95.55
flbfgbdm-1,Cluster 9,8,199.27
ocmalmbj-1,Cluster 3,0,35.49
alkgjkel-1,Cluster 9,6,145.36
fkongihb-1,Cluster 6,0,55.86
nekhnbee-1,Cluster 32,0,160.21
fkpkobig-1,Cluster 6,0,96.00
fkohjgol-1,Cluster 7,0,55.50
aliobcfo-1,Cluster 9,6,198.24
alinnifi-1,Cluster 9,3,234.99
fkpoejbe-1,Cluster 9,7,193.54
fknohond-1,Cluster 9,6,153.44
alioffdk-1,Cluster 3,0,97.81
alihlemj-1,Cluster 9,4,151.86
alimcjna-1,Cluster 9,3,201.53
alihpaji-1,Cluster 9,8,229.53
fknpdoih-1,Cluster 9,2,129.06
fkoadcbl-1,Cluster 9,7,208.03
fkpmmhlj-1,Cluster 9,4,172.50
fkpnjppj-1,Cluster 3,0,36.71
flabppbk-1,Cluster 6,3,181.93
fkooohhj-1,Cluster 3,0,28.36
flabacgp-1,Cluster 9,8,194.62
flaaknin-1,Cluster 9,2,174.75
fknpgfpj-1,Cluster 9,6,231.34
flakijda-1,Cluster 1,0,109.14
nekcfgbf-1,Cluster 3,0,19.28
fklplfcd-1,Cluster 21,0,71.21
flciecap-1,Cluster 3,0,76.86
flainjla-1,Cluster 9,1,177.42
fklojfak-1,Cluster 15,0,84.44
flahfnej-1,Cluster 9,1,103.68
fklpggeo-1,Cluster 6,0,76.36
flbncmjm-1,Cluster 9,2,100.20
allgecnl-1,Cluster 9,0,182.97
fklpklge-1,Cluster 35,0,67.51
oclohmkk-1,Cluster 21,0,8.90
fkllepge-1,Cluster 15,0,59.02
allgehmm-1,Cluster 6,0,59.92
fklldjni-1,Cluster 26,0,27.46
fklhcmma-1,Cluster 3,0,22.80
fklhcppp-1,Cluster 26,0,53.42
flbockhl-1,Cluster 15,0,16.53
