#Selection name: Selection 1
#Area (µm^2): 2480733.99
Cell ID,Cluster,Transcripts,Area (µm^2)
moacimdk-1,Cluster 9,0,106.52
moaddokg-1,Cluster 6,0,45.47
moaenool-1,Cluster 9,0,175.75
mohiieem-1,Cluster 9,0,204.06
moaelnej-1,Cluster 9,0,133.53
afklckae-1,Cluster 9,0,212.91
moaelbcp-1,Cluster 9,0,158.81
mnoipnml-1,Cluster 13,0,175.21
mobpljkl-1,Cluster 9,0,114.65
mnlbfjgd-1,Cluster 13,1,141.61
moajjnmo-1,Cluster 9,0,111.49
mnldpbhc-1,Cluster 22,0,157.51
mobohapa-1,Cluster 11,0,138.63
moajbcig-1,Cluster 9,0,175.79
mnkpaiij-1,Cluster 9,0,144.73
mnpmlhla-1,Cluster 24,0,149.92
mohiklnc-1,Cluster 1,0,58.25
mnlcghbm-1,Cluster 9,1,144.18
mocoidik-1,Cluster 9,0,155.25
afldmkge-1,Cluster 9,0,134.16
moajmmnh-1,Cluster 2,0,52.65
modafnel-1,Cluster 13,0,110.36
mnpmhjnk-1,Cluster 2,0,124.77
aflcekbo-1,Cluster 9,0,153.53
afkpnccn-1,Cluster 9,0,168.12
mochebpa-1,Cluster 21,0,43.17
mochgdbg-1,Cluster 9,1,98.71
mocplajl-1,Cluster 2,0,28.67
aflcfeof-1,Cluster 9,0,160.58
modbkpfc-1,Cluster 9,0,66.29
modbcdii-1,Cluster 2,0,74.87
mnpmliao-1,Cluster 9,0,168.07
obnmjimc-1,Cluster 24,0,69.27
obnmjlib-1,Cluster 9,0,89.77
mocjpado-1,Cluster 9,0,141.02
moahgcca-1,Cluster 9,0,128.42
afjklhid-1,Cluster 13,0,133.12
mogpamic-1,Cluster 4,0,127.11
aeogmofc-1,Cluster 9,0,135.33
mnpphkho-1,Cluster 9,0,141.79
mnokapkl-1,Cluster 13,0,92.93
moflaief-1,Cluster 9,0,104.72
afaipbog-1,Cluster 9,0,167.76
mofkjiol-1,Cluster 9,0,162.83
obobjmpo-1,Cluster 21,0,28.09
ohahdbaf-1,Cluster 1,0,28.72
afaggkmi-1,Cluster 9,0,170.65
mohkjcfk-1,Cluster 9,0,167.26
afaideec-1,Cluster 9,0,154.93
mohjainp-1,Cluster 9,0,172.54
mnmnccea-1,Cluster 9,0,117.50
mohkbjid-1,Cluster 22,0,189.70
mnmnaaph-1,Cluster 9,0,203.43
mohjpknc-1,Cluster 9,0,93.43
mohjdpfa-1,Cluster 9,0,70.99
mohiolnd-1,Cluster 9,0,146.04
aeohmajf-1,Cluster 9,0,193.00
aeogclal-1,Cluster 9,0,164.87
mogpniec-1,Cluster 9,1,110.32
afahgnij-1,Cluster 9,0,144.23
mogommkf-1,Cluster 9,0,63.90
afahckmn-1,Cluster 9,0,227.00
mohadood-1,Cluster 9,0,175.39
mogomgdg-1,Cluster 13,0,126.57
mohkippd-1,Cluster 6,0,98.94
mnnfcdbh-1,Cluster 13,0,100.02
afabpjid-1,Cluster 9,0,179.54
mogphblj-1,Cluster 9,0,170.10
mogphbgk-1,Cluster 13,0,118.04
mohabdmk-1,Cluster 9,1,132.71
afaabkmn-1,Cluster 9,0,188.66
obneaoef-1,Cluster 2,0,107.20
mnoeoghi-1,Cluster 2,0,59.61
mnohjifd-1,Cluster 1,0,91.22
aepoegco-1,Cluster 9,0,232.51
mnogpgch-1,Cluster 9,0,139.94
aepmlogm-1,Cluster 9,0,164.05
mnogdmok-1,Cluster 22,0,159.45
mnogpknb-1,Cluster 9,0,162.79
aepjonfe-1,Cluster 9,0,125.99
mnppipkd-1,Cluster 9,0,114.79
aeppgpbf-1,Cluster 9,0,180.63
mnogiikj-1,Cluster 13,0,88.01
mohihepf-1,Cluster 9,0,120.70
mnoecchj-1,Cluster 1,0,72.25
mohhklmm-1,Cluster 13,0,113.97
mobmnkdc-1,Cluster 22,0,109.77
aepjfafb-1,Cluster 13,1,147.21
mnoedcin-1,Cluster 9,0,140.03
mobnplki-1,Cluster 9,0,126.21
mnogkdkm-1,Cluster 9,0,115.42
mnogalni-1,Cluster 9,0,113.70
aephmion-1,Cluster 13,0,146.22
aepigifi-1,Cluster 9,0,150.05
mnlgofca-1,Cluster 19,1,201.80
mnlnlmon-1,Cluster 6,0,13.19
afjmgdcb-1,Cluster 22,0,150.19
afjkhode-1,Cluster 17,0,183.42
mnpaeaej-1,Cluster 13,0,122.64
obmjccnc-1,Cluster 19,0,73.06
mliclfka-1,Cluster 4,0,124.77
obmjpleb-1,Cluster 19,2,121.74
mlicpjcm-1,Cluster 6,0,150.14
mnonneom-1,Cluster 13,2,184.55
mnonldkp-1,Cluster 1,0,137.68
mliafhkj-1,Cluster 17,0,184.51
mnlljioi-1,Cluster 6,0,29.04
mnlhjfff-1,Cluster 19,1,168.12
aflegnan-1,Cluster 19,0,163.33
afjlplip-1,Cluster 17,0,231.97
mnoojhkf-1,Cluster 13,0,85.16
mnlhbkil-1,Cluster 13,0,118.04
mnopgbke-1,Cluster 13,0,68.01
mnmckood-1,Cluster 19,0,170.19
afjnknia-1,Cluster 17,0,177.51
mlngahoj-1,Cluster 8,0,246.19
mliakkaj-1,Cluster 10,0,121.43
aflpjcon-1,Cluster 22,0,136.73
afjnmpnb-1,Cluster 21,0,313.29
aflpafgi-1,Cluster 28,0,203.02
mlnfccce-1,Cluster 17,0,166.76
mlnheecp-1,Cluster 17,2,134.66
mlibojna-1,Cluster 17,0,162.38
mlibdegb-1,Cluster 28,2,125.53
afmaibij-1,Cluster 22,0,136.06
afjnfdka-1,Cluster 3,0,85.80
mlibjeih-1,Cluster 1,0,70.94
mlnchagg-1,Cluster 10,0,102.87
mljffkdl-1,Cluster 1,0,6.64
mliphgdi-1,Cluster 1,0,64.75
mljfnbhe-1,Cluster 17,0,164.05
obkibeog-1,Cluster 17,0,136.82
ogpkhgbh-1,Cluster 6,0,34.36
mnodakig-1,Cluster 6,0,31.29
afamphal-1,Cluster 28,0,194.40
obocgcbd-1,Cluster 13,0,73.60
mnobcpcp-1,Cluster 17,0,192.05
mlnlomlj-1,Cluster 17,1,174.57
afaoblei-1,Cluster 13,1,171.19
mnknmgak-1,Cluster 9,0,95.51
mohhmeai-1,Cluster 13,0,97.31
obmljmkl-1,Cluster 13,0,91.44
mohfmijb-1,Cluster 19,0,87.24
mohgddil-1,Cluster 13,0,116.91
mlnnfpnl-1,Cluster 2,0,32.02
mlnmacoe-1,Cluster 6,0,65.70
mnoaeecf-1,Cluster 19,0,198.60
mnobfgkh-1,Cluster 28,2,167.26
mohiaomn-1,Cluster 13,1,110.50
obmlmjdh-1,Cluster 19,1,80.87
mohgoppd-1,Cluster 13,0,142.24
afapadnb-1,Cluster 19,1,180.31
mohfgddb-1,Cluster 13,0,135.29
ohakgkhm-1,Cluster 1,0,74.69
mohgllfp-1,Cluster 13,0,81.15
obmkginm-1,Cluster 13,0,47.37
mnkobedh-1,Cluster 13,1,155.70
mohgdhce-1,Cluster 13,0,135.33
mlnnbbpj-1,Cluster 19,0,58.25
mlnmajjd-1,Cluster 17,0,178.05
afankgba-1,Cluster 33,0,245.70
mlidbmda-1,Cluster 17,0,147.66
mnmbcogk-1,Cluster 13,0,127.25
mohiajnb-1,Cluster 19,0,45.43
afjjbmif-1,Cluster 28,0,165.54
mnkooemn-1,Cluster 13,0,134.34
mnmcaial-1,Cluster 13,0,56.17
mnmcapne-1,Cluster 19,0,105.35
mliegmdh-1,Cluster 28,1,151.32
afjhighn-1,Cluster 28,0,203.93
mlicaljp-1,Cluster 2,0,53.65
afklcmhj-1,Cluster 13,0,140.71
mnmajcea-1,Cluster 19,0,180.26
mnmdfmgn-1,Cluster 2,0,27.27
afklangh-1,Cluster 28,0,211.47
mnlflgea-1,Cluster 2,0,47.41
mnmbogim-1,Cluster 2,0,43.58
obmijdci-1,Cluster 19,0,93.93
afkmfbla-1,Cluster 10,0,140.80
mnpakibj-1,Cluster 13,0,58.12
mnlmgcom-1,Cluster 19,0,235.72
mnlkjnmm-1,Cluster 13,1,121.33
modcejle-1,Cluster 13,0,109.77
obmkgmmd-1,Cluster 19,0,89.09
mnoplddg-1,Cluster 19,0,29.17
mnlgclgo-1,Cluster 6,0,12.82
mnmdfdma-1,Cluster 19,0,161.21
modbphnd-1,Cluster 13,0,135.88
ohafojpk-1,Cluster 1,0,80.15
afkmegkl-1,Cluster 2,0,136.78
mmnipeka-1,Cluster 28,0,193.90
mnnpkigg-1,Cluster 13,0,124.18
mohcihgl-1,Cluster 13,0,141.47
mmhphlbc-1,Cluster 6,0,24.20
mnnfgikl-1,Cluster 9,0,151.18
aeojlkfl-1,Cluster 28,1,177.51
mohceonj-1,Cluster 13,0,108.65
mnnolale-1,Cluster 19,0,158.72
moiegdhi-1,Cluster 1,0,45.70
afalgjmg-1,Cluster 17,1,185.19
obmpeikc-1,Cluster 17,1,184.37
moicagjg-1,Cluster 18,0,67.96
mnnnfama-1,Cluster 19,0,162.83
moidbepl-1,Cluster 13,1,96.86
afadbned-1,Cluster 13,0,151.91
obmpkpep-1,Cluster 9,0,87.20
moibeibk-1,Cluster 1,0,97.76
mnnpamjk-1,Cluster 9,0,177.37
moiehalo-1,Cluster 13,0,150.96
moidhipn-1,Cluster 13,0,109.55
moianjmg-1,Cluster 13,0,59.88
obmnobif-1,Cluster 2,0,23.80
mmhdamnf-1,Cluster 8,0,75.64
moianjjp-1,Cluster 22,0,126.17
mnndllme-1,Cluster 9,0,128.15
moifdnkd-1,Cluster 13,0,136.51
afalfcff-1,Cluster 19,2,193.00
aeoeiefa-1,Cluster 19,1,222.35
moidofep-1,Cluster 13,0,157.96
aeojcmae-1,Cluster 22,1,146.44
mnnjmoog-1,Cluster 19,0,156.15
aeoihhfg-1,Cluster 1,0,113.48
mnnpjaan-1,Cluster 1,0,75.32
mnninoep-1,Cluster 19,1,62.27
mnnimjei-1,Cluster 13,0,132.40
afaclnif-1,Cluster 13,1,151.00
obmpmjfj-1,Cluster 13,0,186.41
afacenhg-1,Cluster 13,0,154.30
afakijij-1,Cluster 13,1,180.85
mohcgkpb-1,Cluster 13,0,113.57
afabmohp-1,Cluster 13,2,145.09
obnchlkm-1,Cluster 9,0,37.43
oboclpah-1,Cluster 9,0,101.65
mohiefoo-1,Cluster 2,0,46.38
mnnjodle-1,Cluster 9,0,129.33
mmiabjnj-1,Cluster 2,0,24.97
afabkojb-1,Cluster 13,0,124.68
mnnkmkla-1,Cluster 22,0,122.15
aeppnodg-1,Cluster 13,0,159.04
mnnndfjo-1,Cluster 9,0,136.06
obnbdfhe-1,Cluster 13,1,126.17
mohdiili-1,Cluster 9,0,94.92
mnnkpilk-1,Cluster 1,0,31.43
mmhplhlg-1,Cluster 1,0,68.05
afanagab-1,Cluster 17,1,230.48
afamnjfa-1,Cluster 13,0,160.76
afambfbd-1,Cluster 2,0,120.25
mohepidi-1,Cluster 4,0,138.72
mloipnfb-1,Cluster 28,0,123.91
afchkpcj-1,Cluster 17,0,198.87
mlnlkhkm-1,Cluster 10,0,138.67
mlnegbih-1,Cluster 17,3,177.46
mlnkpoif-1,Cluster 19,1,194.71
mlnfbbaa-1,Cluster 28,0,235.08
mlmobkoj-1,Cluster 17,0,137.00
afcfcncm-1,Cluster 28,1,187.22
mlmofmaj-1,Cluster 17,0,85.03
mlmomoif-1,Cluster 1,0,77.35
mlniopop-1,Cluster 10,0,102.87
mlnllkgm-1,Cluster 22,0,147.71
afcaabdl-1,Cluster 28,0,154.57
mlnjcbfh-1,Cluster 28,1,182.21
mlmmfebl-1,Cluster 6,0,118.94
mlmodmed-1,Cluster 35,0,111.54
mlnhplik-1,Cluster 1,0,83.81
mlnnjhni-1,Cluster 3,0,53.87
ogphjkdi-1,Cluster 8,0,76.45
mlnjjehc-1,Cluster 17,0,132.13
afanaojp-1,Cluster 22,0,157.69
afccmcil-1,Cluster 3,0,82.05
mlnidoij-1,Cluster 17,0,182.97
mlmolmfl-1,Cluster 6,0,8.81
mlnimflh-1,Cluster 2,0,30.44
mlnimpln-1,Cluster 10,0,115.33
mlmpjdde-1,Cluster 2,0,54.96
mlhopipn-1,Cluster 17,0,178.28
mlndepej-1,Cluster 17,2,142.56
afcboabf-1,Cluster 17,0,121.61
mlnnllgm-1,Cluster 2,0,39.20
afjgjcbg-1,Cluster 17,0,182.21
mlhpomnl-1,Cluster 10,0,117.95
mlnjddlg-1,Cluster 17,0,150.82
mliabebh-1,Cluster 2,0,18.11
obkikond-1,Cluster 22,0,104.67
mlmnkcfh-1,Cluster 2,0,36.13
mlmokoap-1,Cluster 17,1,193.00
mlndpbnc-1,Cluster 10,0,128.42
ogpfnlab-1,Cluster 6,0,39.11
obkiapjb-1,Cluster 17,1,180.44
mmngiecm-1,Cluster 8,0,68.68
afjjmmgn-1,Cluster 22,0,137.82
mlneaojo-1,Cluster 28,3,157.78
mmnkkncn-1,Cluster 17,1,178.82
afapbdll-1,Cluster 22,0,224.38
afjkamdk-1,Cluster 10,1,139.67
mlmmgcfg-1,Cluster 2,0,15.71
mmnjbnkm-1,Cluster 17,0,218.01
mlnadggd-1,Cluster 22,0,282.00
oihjclgi-1,Cluster 1,0,130.32
mmngonbc-1,Cluster 19,0,185.95
mlnmknha-1,Cluster 6,0,100.29
mmniiome-1,Cluster 17,0,59.34
mlnkmhjc-1,Cluster 17,0,135.65
mmnjpink-1,Cluster 17,0,181.39
mlnigcfo-1,Cluster 22,0,110.45
afapmhpd-1,Cluster 19,0,214.72
mplcmnlo-1,Cluster 2,0,64.48
ogpkhhch-1,Cluster 2,0,55.36
aeonkkdb-1,Cluster 17,0,181.57
