names,scores,logfoldchanges,pvals,pvals_adj
Pcdha11,0.045509767,-0.18225996,0.9637009902182919,1.0
G530011O06Rik,0.04549972,-0.22318728,0.9637089977160616,1.0
Kcns3,0.045449488,-0.09749622,0.9637490352597975,1.0
Tubb4a,0.045318887,-0.07086862,0.963853133301038,1.0
Htr4,0.04530884,-0.17230095,0.9638611408682146,1.0
Cerox1,0.045258608,-0.0027784093,0.9639011787587559,1.0
Mir100hg,0.045258608,0.13022035,0.9639011787587559,1.0
Arhgap6,0.0451481,-0.25394,0.9639892624382045,1.0
Stx2,0.045067728,-0.18173455,0.964053323572081,1.0
Tmem183a,0.04497731,-0.20361246,0.9641253926250284,1.0
Lrfn2,0.044836663,-0.13226563,0.9642375006230576,1.0
Gm47728,0.044806525,-0.25128573,0.964261523857547,1.0
Gm9873,0.04471611,-0.07887155,0.9643335937555773,1.0
Thbs3,0.044696014,-0.23043336,0.9643496093280645,1.0
Gm5444,0.044595554,-0.15973337,0.9644296874061153,1.0
Rpl34,0.044424765,-0.19286408,0.9645658209617404,1.0
Dact2,0.044354443,-0.12940037,0.9646218762556714,1.0
Gm14040,0.04433435,-0.14032073,0.9646378920860643,1.0
Nubp1,0.04433435,-0.21339846,0.9646378920860643,1.0
Trim5,0.0443243,-0.21843886,0.9646459000066112,1.0
Kif19b,0.04414347,-0.057849605,0.9647900431854415,1.0
