names,scores,logfoldchanges,pvals,pvals_adj
Mafg,-1.0016843,-0.13609159,0.31649606169235844,1.0
Septin3,-1.0031109,-0.8303064,0.31580738109099404,1.0
Chst2,-1.0049376,-0.18427937,0.3149268862912258,1.0
Eif4g2,-1.0056145,-0.31054905,0.3146010572144269,1.0
Rabgap1,-1.0058328,-0.08735884,0.3144959983538742,1.0
Lmtk3,-1.006546,-0.29898527,0.31415296684651073,1.0
Gars,-1.0069027,-0.41545582,0.3139815434097397,1.0
Abhd10,-1.0083364,-0.50345063,0.3132929723289799,1.0
Cnbp,-1.0099958,-0.3210016,0.31249728930075404,1.0
Galnt17,-1.0101196,-0.25190628,0.3124380154353562,1.0
Cmtm5,-1.0102869,-0.29174167,0.31235783317258703,1.0
Idi1,-1.0112331,-0.42882177,0.311904883980174,1.0
Pfkfb2,-1.0116625,-0.2980315,0.3116994576360429,1.0
Nrbp2,-1.0120773,-0.18805932,0.3115010796312072,1.0
P4ha3,-1.0121647,-0.82269055,0.3114593264516625,1.0
Pepd,-1.0130599,-0.2246214,0.3110315691545361,1.0
Nrd1,-1.013089,-0.10208594,0.3110176648580947,1.0
Adar,-1.0138823,-0.14541759,0.3106389306188415,1.0
Pde10a,-1.0147774,-0.08103751,0.31021191728976705,1.0
Ctps2,-1.0152869,-0.2158394,0.3099690746944701,1.0
Tob2,-1.0161239,-0.34166086,0.309570391619165,1.0
Phf21a,-1.0178998,-0.06805109,0.30872561255202424,1.0
Fam120c,-1.0179797,-0.09626534,0.3086875641907052,1.0
Pcdh19,-1.0183655,-0.53402483,0.3085042837290608,1.0
Scp2,-1.0189623,-0.21905352,0.30822085956786005,1.0
Minar2,-1.019712,-1.4080514,0.30786509531010464,1.0
Mef2b,-1.0198721,-0.41423717,0.3077891420612292,1.0
Grk5,-1.0213859,-0.28451812,0.30707165153012694,1.0
Cdk17,-1.0218589,-0.16252206,0.3068476630765058,1.0
Ppm1k,-1.0218735,-0.37442487,0.30684077284075895,1.0
Cyp20a1,-1.022645,-0.324415,0.30647573700368924,1.0
Amy1,-1.0227542,-0.17292935,0.30642410424022204,1.0
Uchl3,-1.0229216,-0.39955935,0.3063449451991831,1.0
Simc1,-1.0240206,-0.24218006,0.30582558545930705,1.0
Ppp4r3b,-1.0241005,-0.16788045,0.3057877741332259,1.0
Rc3h1,-1.0246682,-0.10463032,0.30551974638091506,1.0
Sorcs1,-1.0246828,-0.24916191,0.3055128759239436,1.0
St3gal5,-1.0251414,-0.46091425,0.3052965089827917,1.0
Nkain3,-1.0253451,-0.50905335,0.3052003785351759,1.0
Gm47728,-1.0260875,-0.37624505,0.30485035889083945,1.0
Eif4b,-1.0265023,-0.27199623,0.30465487576042705,1.0
Crocc,-1.0275794,-0.9431568,0.3041476941190918,1.0
Itga1,-1.0288895,-0.5979334,0.3035316077233924,1.0
Kdm6a,-1.0302942,-0.12271895,0.3028719481163932,1.0
Eif2s2,-1.031153,-0.13379137,0.3024691028516432,1.0
Pcf11,-1.0316333,-0.18570621,0.30224393811998085,1.0
Dnah2,-1.0317206,-1.0954677,0.3022030110627777,1.0
Atxn3,-1.0321646,-0.20648874,0.30199502220545127,1.0
Nkd1,-1.0331835,-0.6721598,0.30151803102603236,1.0
Myh10,-1.0332199,-0.3193086,0.30150100490916,1.0
Ctdsp2,-1.0338167,-0.2810591,0.3012218679279218,1.0
Zfp385b,-1.0341806,-0.28231,0.30105174694845105,1.0
Tmem150c,-1.0351632,-0.64110976,0.30059274003391834,1.0
Atp9b,-1.0356144,-0.090047844,0.30038209321563425,1.0
Rapgef6,-1.0370845,-0.123511165,0.29969647492275764,1.0
Zfyve1,-1.037492,-0.15609948,0.2995065874577705,1.0
Lzts1,-1.0380524,-0.7960614,0.2992456232694922,1.0
Kctd15,-1.0384746,-1.0946505,0.2990491530558461,1.0
Prox1,-1.0388603,-0.8468341,0.29886969522180895,1.0
Cyfip2,-1.039217,-0.37989652,0.29870384533911876,1.0
Nde1,-1.0395954,-0.37775922,0.29852790859459244,1.0
Kdm7a,-1.0399593,-0.2427904,0.2983588039134736,1.0
Cnksr3,-1.040083,-0.3623543,0.2983013228975361,1.0
Snx32,-1.0411748,-0.15072748,0.29779445801125926,1.0
Ppard,-1.041313,-0.1469994,0.29773029621325364,1.0
Cnot2,-1.0426085,-0.15418279,0.29712965014399895,1.0
Lypla2,-1.0443115,-0.52342355,0.2963412702067286,1.0
Dnaaf9,-1.0447847,-0.02589468,0.29612252440485365,1.0
Tmed10,-1.0453013,-0.20764041,0.2958837101990247,1.0
Snx2,-1.0458763,-0.2457581,0.2956181389244231,1.0
Rit2,-1.0461675,-0.49458304,0.2954837333392468,1.0
Zfp704,-1.0465531,-0.3006699,0.2953057089811003,1.0
Chrm3,-1.0468515,-0.13060434,0.29516804131624164,1.0
Zmiz1os1,-1.0470699,-0.42995077,0.29506733611981995,1.0
Phf6,-1.0497555,-0.34795776,0.29383054500333516,1.0
Dmxl1,-1.0503814,-0.09401881,0.2935427959243879,1.0
Zfp148,-1.050396,-0.1031356,0.2935361063355503,1.0
Ralgapa1,-1.0504032,-0.068379894,0.2935327615794864,1.0
Hunk,-1.0506362,-0.14975305,0.293425742886291,1.0
Fam234a,-1.0510656,-0.17767666,0.2932284958112886,1.0
Nova2,-1.0515095,-0.24221988,0.29302465597468585,1.0
Hace1,-1.0518442,-0.31247905,0.29287100360908314,1.0
Rere,-1.0519462,-0.04167163,0.29282425058356876,1.0
Cep63,-1.0523392,-0.27706805,0.2926439644239367,1.0
Plp1,-1.0540277,-0.20959693,0.2918702497712484,1.0
Fgd2,-1.0547264,-3.6193135,0.29155049442289893,1.0
Rbfox3,-1.05477,-0.23284315,0.29153051753475456,1.0
Ythdc1,-1.055658,-0.10897622,0.2911245203641235,1.0
Arhgef1,-1.0556653,-0.17355518,0.29112119409021164,1.0
Hnrnpul1,-1.0559782,-0.27760223,0.29097818848778056,1.0
Pdia4,-1.0568879,-0.61775446,0.2905627428509612,1.0
Erich2,-1.0568953,-1.8714008,0.2905594208957366,1.0
E130307A14Rik,-1.0580597,-0.09484156,0.2900282371634766,1.0
Ttc8,-1.058722,-0.20898075,0.2897264182069631,1.0
Ryr2,-1.0598646,-0.1707585,0.28920619493680666,1.0
Ift122,-1.0605633,-0.36036387,0.28888840684324224,1.0
Cdon,-1.0606871,-1.4912521,0.2888321564019082,1.0
Ncoa6,-1.0609854,-0.12903507,0.28869652394150214,1.0
A830082K12Rik,-1.0614876,-0.101246215,0.288468361360946,1.0
Tnpo3,-1.0619243,-0.17147513,0.28827005795364724,1.0
Sae1,-1.0624483,-0.2359561,0.2880322152200251,1.0
Ube3a,-1.062623,-0.10237395,0.28795296372690193,1.0
Atp11a,-1.0633653,-0.22194774,0.2876163089693029,1.0
Pcca,-1.0634745,-0.10195526,0.28756682332277683,1.0
Castor2,-1.0657161,-0.13906518,0.2865519879962931,1.0
Zzz3,-1.0659636,-0.1509617,0.2864401091394615,1.0
Mob4,-1.0685327,-0.33661613,0.28528028668459304,1.0
Kif19a,-1.068671,-1.2401028,0.2852179501649794,1.0
Cyth1,-1.068882,-0.12098977,0.2851228227099014,1.0
Clstn1,-1.069508,-0.17740242,0.2848408467724116,1.0
1500004A13Rik,-1.0695953,-0.2059496,0.28480151629484385,1.0
Pisd,-1.0706578,-0.2473387,0.28432328973649545,1.0
Cdk9,-1.0710872,-0.35735792,0.28413018806956536,1.0
Mapk8ip1,-1.0731906,-0.35158515,0.283185599771244,1.0
Rab5b,-1.0742023,-0.25737542,0.28273204078277603,1.0
Trmt13,-1.0746099,-0.30915213,0.28254945119656305,1.0
Kcnn2,-1.075607,-0.042258818,0.2821030958631866,1.0
Caprin1,-1.0762765,-0.20579815,0.2818036221253646,1.0
Tnks1bp1,-1.0767859,-0.31460196,0.28157590619542583,1.0
Mtch1,-1.0770625,-0.36887288,0.28145234127604657,1.0
Cnnm3,-1.0772153,-0.228617,0.2813840711881347,1.0
Thra,-1.0778195,-0.10586584,0.28111435178505717,1.0
Mdc1,-1.0804249,-0.6730832,0.2799529951552281,1.0
