names,scores,logfoldchanges,pvals,pvals_adj
Zfp120,-0.30502468,-0.25770244,0.7603473598207547,1.0
Ncaph2,-0.3055985,-0.044718396,0.7599103575904567,1.0
Elfn2,-0.30570507,-0.6456802,0.7598292084662917,1.0
Tyms,-0.30577067,-0.5225482,0.7597792718576963,1.0
5430405H02Rik,-0.30585262,0.0030408972,0.7597168525051287,1.0
Map3k15,-0.3060084,-0.6415069,0.7595982600471258,1.0
Srl,-0.306033,-0.18469405,0.759579535438798,1.0
Lamb3,-0.30618873,-0.77872473,0.759460949525733,1.0
Rnaseh1,-0.30622151,-0.8564695,0.7594359847908783,1.0
Ythdf1,-0.30634448,-0.02332654,0.7593423692679273,1.0
Axdnd1,-0.30651665,-0.007061269,0.7592113134603866,1.0
Evc,-0.30656582,-0.03377223,0.7591738702139323,1.0
Ppm1g,-0.3066724,-0.028550258,0.7590927451169107,1.0
Rcc1,-0.30671337,-0.3815706,0.7590615438624303,1.0
Srp54a,-0.30685273,-0.31779885,0.7589554625314845,1.0
Gdpd5,-0.30690193,-0.15017575,0.7589180231446887,1.0
Arsg,-0.3069593,-0.47957096,0.7588743445743853,1.0
Cyhr1,-0.30708227,-0.017561732,0.758780750228895,1.0
Rpl37,-0.30709046,-0.17613114,0.7587745107315037,1.0
Gm48027,-0.30711508,-1.4155011,0.7587557923335755,1.0
Zfp940,-0.30713966,-0.9369806,0.7587370740770234,1.0
Gba,-0.30718884,-0.1880554,0.758699637988089,1.0
Dnajc6,-0.30727082,-0.023349501,0.7586372457635231,1.0
Gm41409,-0.30742657,-1.5423746,0.7585187048668326,1.0
Elof1,-0.30742657,-1.57805,0.7585187048668326,1.0
P2rx3,-0.30751675,-23.042927,0.7584500785207545,1.0
AV099323,-0.30757412,-0.1966206,0.7584064082003876,1.0
Vamp2,-0.30783644,-0.014935298,0.7582067822674644,1.0
Lrp11,-0.30785283,-0.37761554,0.7581943061817515,1.0
Acbd4,-0.30786926,-0.030293602,0.7581818301590091,1.0
Plin3,-0.3079594,-0.18515493,0.7581132131596596,1.0
Snupn,-0.3079758,0.0024895845,0.7581007375462998,1.0
Nat8f4,-0.30800042,-0.45685124,0.7580820242443732,1.0
Akirin1,-0.30805779,-0.036356963,0.7580383604244603,1.0
Lbh,-0.30844307,-0.2043727,0.757745209058047,1.0
Cyp4f14,-0.3089677,-0.2194893,0.7573460802411625,1.0
Atxn7l2,-0.3090251,-0.24080941,0.7573024294498879,1.0
Ghdc,-0.3090415,-0.09549989,0.7572899579374042,1.0
Slc35e3,-0.3091235,-0.73285884,0.7572276013229036,1.0
Rad23a,-0.30917266,-0.31418392,0.7571901881126469,1.0
Ripk2,-0.3093366,-0.23319364,0.7570654815212104,1.0
Zbtb1,-0.3093776,-0.12119551,0.757034305861437,1.0
Arhgap5,-0.30943498,-0.14079557,0.756990660601918,1.0
Atg14,-0.30943498,-0.07508905,0.756990660601918,1.0
Zc4h2,-0.30949238,-0.5711462,0.7569470161173738,1.0
Pdzd11,-0.30953336,-0.5251455,0.7569158419601029,1.0
Jazf1,-0.30963174,-0.027732087,0.7568410255964199,1.0
Pik3r4,-0.30978748,-0.050926957,0.7567225710146169,1.0
Dnase1l1,-0.30979568,-0.6197926,0.7567163367212414,1.0
Mtap,-0.30993503,-0.16544971,0.7566103561565365,1.0
Vangl1,-0.30993503,-0.19340764,0.7566103561565365,1.0
A230108P19Rik,-0.3100498,-0.23342448,0.75652308148139,1.0
Rnf32,-0.3103285,-0.3343347,0.7563111416298363,1.0
Gm49165,-0.3103367,-1.2288303,0.7563049083822169,1.0
Sgpp1,-0.31035313,-0.14010221,0.7562924419345508,1.0
Tctn2,-0.3104351,-0.12833759,0.7562301106477749,1.0
Wdr49,-0.31046787,-0.21364842,0.7562051785771797,1.0
Ftl1-ps1,-0.31050068,-0.6737941,0.7561802467604011,1.0
Pmf1,-0.31054166,-0.37621352,0.756149082346394,1.0
Zfp46,-0.31056625,-0.8700262,0.7561303838883899,1.0
Kcnc2,-0.31067282,-0.014943512,0.7560493588874496,1.0
Samd1,-0.3107056,-0.3411968,0.7560244286575726,1.0
Atxn7l3,-0.310763,-0.07678342,0.7559808013664707,1.0
Qtrt1,-0.3107712,0.002848396,0.7559745689598188,1.0
Cp,-0.3107794,-0.9372373,0.7559683365690446,1.0
Cylc2,-0.31082857,-3.1157742,0.7559309425578481,1.0
Zbtb2,-0.3114926,-0.012514249,0.7554261793938299,1.0
Myl6,-0.31158274,-0.010000217,0.7553576393562353,1.0
Ints11,-0.31159097,-0.2812614,0.755351408539209,1.0
Agbl1,-0.31200084,-0.14345427,0.7550398879878395,1.0
Gm9889,-0.3124189,-0.6499417,0.7547221780644305,1.0
Jade1,-0.3124353,-0.23247528,0.7547097196969574,1.0
Rnf135,-0.31256646,-0.31403777,0.754610055054842,1.0
Cct3,-0.31264025,-0.06541262,0.7545539954890889,1.0
Zfp94,-0.3127796,-0.32882935,0.7544481087264263,1.0
Crcp,-0.31282058,-0.15383755,0.754416966439212,1.0
Ccnj,-0.3128616,-0.7099212,0.7543858245512982,1.0
Plch1,-0.31303373,0.028498432,0.754255032983489,1.0
Spring1,-0.3130665,-1.0152301,0.7542301211028914,1.0
Elapor1,-0.3130665,-0.05923624,0.7542301211028914,1.0
Polr1h,-0.31309113,-0.76732427,0.7542114373602671,1.0
Lage3,-0.3131321,-0.1614789,0.7541802981089215,1.0
H2ac19,-0.31329605,-0.9773843,0.7540557451006038,1.0
Gm16310,-0.31338623,-0.7866584,0.7539872436727998,1.0
Rpl3l,-0.31340262,-0.78997374,0.7539747890757048,1.0
Tiprl,-0.3134436,-0.0016907884,0.7539436528629533,1.0
Ttll1,-0.3141404,-0.44709182,0.753414398487397,1.0
Fam136a,-0.3141568,-2.2409627,0.7534019468372103,1.0
Pus1,-0.31435356,-0.9180805,0.7532525320382943,1.0
Laptm4b,-0.31437814,-0.09227655,0.7532338558380476,1.0
Pwwp3a,-0.3145339,-0.1693428,0.753115576590041,1.0
Chtop,-0.31465685,-0.00706901,0.7530222023291968,1.0
Apaf1,-0.31493556,-0.021715697,0.7528105673816945,1.0
Bag1,-0.31502575,-0.1330174,0.7527421012280675,1.0
Inhbb,-0.31505033,-0.41350943,0.7527234289782369,1.0
Cfdp1,-0.31562418,0.036219448,0.7522877842409965,1.0
Mamdc4,-0.31566516,-0.52146405,0.7522566697771692,1.0
Nat8l,-0.31572255,-0.14573026,0.7522131102041419,1.0
Uevld,-0.3159439,-0.13744347,0.7520451021017562,1.0
Otub2,-0.3159439,-0.15745671,0.7520451021017562,1.0
Recql,-0.31605044,-0.46707124,0.7519642135013347,1.0
Rab7b,-0.3161652,-0.55888367,0.7518771057476896,1.0
Copz2,-0.31638655,-0.15869983,0.7517091211493498,1.0
Mmut,-0.31640294,-0.06479099,0.7516966783136219,1.0
Trmt61b,-0.31642753,-0.17777154,0.7516780141810562,1.0
Ccdc186,-0.31664068,0.025281604,0.7515162644505503,1.0
Abcb4,-0.31675544,-0.21154483,0.7514291729627363,1.0
Shf,-0.31683743,-0.4146549,0.7513669666954441,1.0
Gnpda2,-0.3169522,-0.45079687,0.7512798806356406,1.0
Psd4,-0.31706697,-1.0311837,0.7511927977435768,1.0
Gm10037,-0.31712434,-1.7141677,0.7511492574857699,1.0
Fcsk,-0.31718993,-0.27310318,0.7510994981613308,1.0
Ndufa13,-0.3172391,-0.18743388,0.7510621793472503,1.0
Polr2f,-0.3172555,-1.0710934,0.7510497398719537,1.0
Traf1,-0.3172719,-1.754356,0.7510373004613602,1.0
Zfp941,-0.31728008,-0.34034568,0.7510310807803283,1.0
Rbm3,-0.3173047,-0.07758969,0.7510124218342958,1.0
Fuca2,-0.3173129,-0.81383497,0.751006202217974,1.0
Slc50a1,-0.31733748,-0.24370317,0.750987543466081,1.0
Slc25a37,-0.31750143,-0.050725404,0.7508631555085938,1.0
Tefm,-0.31750143,-1.8781418,0.7508631555085938,1.0
Tmem42,-0.3176818,-1.9796274,0.7507263362339252,1.0
A4galt,-0.31773096,-1.9659996,0.7506890232465326,1.0
Smg6,-0.31773096,-0.045632686,0.7506890232465326,1.0
Gm44955,-0.31778014,-1.9754851,0.7506517108422555,1.0
C920021L13Rik,-0.3179113,-0.037080314,0.7505522139489191,1.0
Poln,-0.31835398,-0.16759896,0.7502164425720714,1.0
Ptpa,-0.31838676,0.040863235,0.7501915724997429,1.0
Map4k2,-0.31845236,-0.0090328455,0.7501418331340394,1.0
Qrich1,-0.3185425,-0.0077839596,0.7500734432023439,1.0
Tep1,-0.31865728,-0.33056468,0.7499864043122554,1.0
Gm9774,-0.31866547,-0.44399977,0.7499801873704661,1.0
Cetn3,-0.31874746,-0.05140744,0.7499180188458598,1.0
Chd6,-0.31909996,-0.08282388,0.749650712705034,1.0
Pcgf1,-0.31960002,-0.64174086,0.749271562555331,1.0
Zfp729b,-0.3196246,-0.12335884,0.7492529173891508,1.0
Noc4l,-0.3196574,-0.65936977,0.7492280573955599,1.0
Necap2,-0.31980497,-0.14202882,0.7491161906493458,1.0
Cops7b,-0.3199771,-0.04427567,0.7489856861174027,1.0
Gar1,-0.32010826,-0.9186349,0.7488862589178205,1.0
Ttc9c,-0.32011646,-0.32814044,0.7488800448564357,1.0
Crbn,-0.3203378,-0.21854584,0.7487122713642607,1.0
Tspan17,-0.32043618,-1.4992101,0.7486377091854697,1.0
Ogfrl1,-0.32046896,-0.06408852,0.7486128556481274,1.0
Ykt6,-0.32060012,-0.43795887,0.7485134441106714,1.0
Ift74,-0.3206821,0.019409891,0.7484513140224279,1.0
Elf4,-0.3207149,-1.5113381,0.7484264624444251,1.0
Mycbp2,-0.32075587,-0.08302836,0.7483953983394438,1.0
Dusp10,-0.32082966,-1.0124482,0.7483394839796815,1.0
Pdp2,-0.32096902,-1.0058079,0.7482338715780341,1.0
Mocos,-0.3210592,-1.6070216,0.7481655366588129,1.0
Amt,-0.321715,-0.5594094,0.7476686149731864,1.0
Spg7,-0.32189533,0.0058660014,0.7475319798797353,1.0
Iqcg,-0.32196912,-0.30448925,0.7474760859910557,1.0
Glb1l3,-0.3219937,-0.46341136,0.7474574549898623,1.0
Tshz1,-0.32211667,-0.0065163104,0.7473643021970962,1.0
Ubtd1,-0.32230523,-0.3336408,0.7472214750813044,1.0
Bin1,-0.32260853,0.036672525,0.7469917279346057,1.0
Usf2,-0.32265773,-0.04121848,0.74695447375831,1.0
Nop58,-0.3227315,0.010191949,0.7468985936024364,1.0
Mapk1ip1l,-0.32298562,-0.030170836,0.7467061276959531,1.0
Cisd1,-0.32304302,-0.8197921,0.7466626698383874,1.0
Amigo2,-0.3230594,-0.80216014,0.7466502534556126,1.0
4930590J08Rik,-0.3230594,-0.82309204,0.7466502534556126,1.0
Lrrc73,-0.3231578,-0.7850652,0.7465757565401293,1.0
Mrps26,-0.32324794,-0.276733,0.7465074697812986,1.0
Hormad2,-0.32325613,-0.84625334,0.7465012619928233,1.0
Fsbp,-0.32328895,-1.0564936,0.746476431003428,1.0
D2hgdh,-0.32350206,-0.27883664,0.7463150359895706,1.0
Prima1,-0.32353488,-0.8506529,0.7462902069749562,1.0
Frs3,-0.3237152,-1.2770705,0.7461536521035957,1.0
Ccnh,-0.3237316,0.005288872,0.7461412384196273,1.0
Zfp688,-0.3237808,-1.335978,0.7461039977630572,1.0
Tekt1,-0.323789,-1.3354332,0.7460977910446194,1.0
Cxxc1,-0.32392836,-0.19529149,0.745992279352067,1.0
Acyp1,-0.32394475,-0.90861464,0.7459798665248663,1.0
Trappc2l,-0.3241579,-0.41360462,0.745818505771618,1.0
Clec18a,-0.3241579,-1.4354439,0.745818505771618,1.0
Acd,-0.32425624,-0.36647496,0.7457440353374152,1.0
Tmbim4,-0.3244366,-0.184198,0.7456075123779046,1.0
Skiv2l,-0.32449397,-0.0811502,0.7455640749293825,1.0
Flna,-0.32455957,-0.040862136,0.7455144331214709,1.0
Zfp580,-0.32462513,-0.43872875,0.7454647923701685,1.0
Srsf7,-0.32464975,-0.011177987,0.745446177360876,1.0
Jmjd4,-0.32527277,-0.5532524,0.7449746467266025,1.0
Las1l,-0.32529736,0.011574223,0.7449560356343969,1.0
Sgpl1,-0.3254695,-0.11224124,0.7448257621583778,1.0
Cdc25a,-0.325822,-0.74520296,0.7445590344852907,1.0
2810013P06Rik,-0.32594496,-0.35613883,0.7444659971532694,1.0
Atp6v1g2,-0.32602695,-0.3075791,0.7444039743367425,1.0
Zcchc2,-0.32604334,-0.06585176,0.7443915699723404,1.0
Khsrp,-0.32606792,-0.04527876,0.7443729635500651,1.0
Rlim,-0.3261663,0.003481232,0.7442985393530945,1.0
Pcnx3,-0.3264778,-0.13997555,0.744062878485868,1.0
B230217C12Rik,-0.32657617,-0.779694,0.7439884642426883,1.0
Tubb3,-0.32676473,-1.1239841,0.7438458436257906,1.0
Ddx52,-0.3268303,0.02416031,0.7437962385140746,1.0
Kctd12b,-0.32686308,-0.373327,0.7437714363569103,1.0
Pigo,-0.32686308,-0.28124943,0.7437714363569103,1.0
Cdk2,-0.3268795,-1.0795362,0.7437590353780119,1.0
Dnpep,-0.3268959,-0.2480858,0.7437466344655735,1.0
Syp,-0.32707623,-0.038670544,0.743610228815953,1.0
Zfp61,-0.32708442,-0.40625542,0.743604028750297,1.0
Hif1an,-0.3271746,-0.41304633,0.7435358291253638,1.0
Bclaf3,-0.32728937,0.010919761,0.7434490325127496,1.0
Mcat,-0.32742053,-1.2621659,0.7433498403761643,1.0
Plcxd2,-0.32763368,-0.8892053,0.7431886622400681,1.0
Gm29264,-0.32765827,-2.4824805,0.743170065486942,1.0
Bud13,-0.32774022,-0.2657039,0.7431080773921812,1.0
Zim1,-0.32779762,-0.446538,0.743064686716741,1.0
Pak4,-0.3279124,-0.20679483,0.7429779078145122,1.0
Ctdsp1,-0.32796156,-0.23936552,0.7429407178560647,1.0
Cog6,-0.32799438,-0.0688457,0.7429159248837092,1.0
Aph1a,-0.32808453,-0.22281192,0.7428477455847111,1.0
Snx33,-0.3281665,-0.25743666,0.7427857661541026,1.0
Pkhd1,-0.3281747,-0.19220017,0.7427795683027391,1.0
Ankrd11,-0.3282075,-0.1296027,0.7427547770640259,1.0
Chst15,-0.3282485,-0.3214417,0.7427237883908295,1.0
Uxt,-0.3282567,-0.22365397,0.74271759070622,1.0
Gm42702,-0.32833046,-0.19740234,0.7426618122952635,1.0
Psd,-0.32834685,-0.5140481,0.7426494172763078,1.0
Rpl34,-0.32842064,-0.3954714,0.742593640516786,1.0
Rabep2,-0.32872394,-0.15525335,0.7423643502627524,1.0
Catip,-0.32874855,-0.21346119,0.7423457601627386,1.0
Zfp760,-0.32874855,-0.05924322,0.7423457601627386,1.0
Ptpdc1,-0.3289043,-0.028131869,0.7422280263533089,1.0
Ssrp1,-0.3289207,0.02300913,0.7422156336715358,1.0
Fam117a,-0.3292732,-0.023012029,0.7419492071828595,1.0
Fam189a1,-0.32960108,-0.056451228,0.74170139634913,1.0
Pde11a,-0.32965848,-0.30169195,0.7416580322060132,1.0
Sesn2,-0.32971585,-0.2677563,0.7416146688832025,1.0
2900093K20Rik,-0.32973227,-0.9888991,0.7416022795130857,1.0
Csrnp2,-0.32974866,-0.75951356,0.7415898902099459,1.0
Poc5,-0.32983062,-0.3359192,0.7415279446990082,1.0
C130060C02Rik,-0.32986343,-0.48751864,0.7415031669635768,1.0
Psmb3,-0.32988802,-0.40430894,0.7414845838378792,1.0
Amz2,-0.33003557,-0.00601861,0.7413730882500453,1.0
Fbxo17,-0.3302733,-0.3489798,0.7411934678911535,1.0
Ahsa1,-0.33040446,-0.44363207,0.7410943730396642,1.0
Intu,-0.33042905,-0.0052865488,0.7410757932330428,1.0
Kdm2b,-0.3306258,0.0072157453,0.7409271602162741,1.0
Csgalnact2,-0.33069137,-0.20993909,0.74087761802554,1.0
Gm39526,-0.33071595,-1.6361513,0.7408590399810009,1.0
Gm49066,-0.33071595,-1.1211878,0.7408590399810009,1.0
Aktip,-0.33072418,-0.12654285,0.740852847333065,1.0
Csk,-0.33078974,-0.11682988,0.7408033067540181,1.0
Jpt1,-0.33079794,-0.2826073,0.7407971142571979,1.0
Enkur,-0.3309947,-1.1725264,0.7406484993721101,1.0
Txnl4a,-0.33110127,-0.18027464,0.7405680036830924,1.0
Cwc15,-0.33110127,-0.4019588,0.7405680036830924,1.0
Slc7a6,-0.33122423,-0.0979728,0.740475127571271,1.0
Faim2,-0.33146194,-0.60910183,0.740295577815417,1.0
Tex22,-0.3316423,-0.4230976,0.7401593770927377,1.0
Cdadc1,-0.33171606,-0.0072910795,0.7401036609629283,1.0
Ajm1,-0.33174887,-0.3089018,0.740078898676236,1.0
Dcaf15,-0.33178166,-0.2400255,0.7400541366589108,1.0
Aplp2,-0.33179805,0.0041552098,0.7400417557512683,1.0
Gsk3a,-0.33206856,-0.12092113,0.7398374805011336,1.0
Mok,-0.33210957,-0.21084858,0.73980653130607,1.0
Dusp1,-0.33215874,-0.2523966,0.7397693928281052,1.0
B230217O12Rik,-0.33224073,-0.32805339,0.7397074967131867,1.0
Nsun4,-0.3323801,-0.27919906,0.7396022771868567,1.0
Gm26903,-0.3323801,-0.57381403,0.7396022771868567,1.0
Nup37,-0.33256862,-0.24704248,0.7394599291148737,1.0
Tpm3,-0.33260143,0.015257822,0.7394351738394283,1.0
Spats2l,-0.33269978,-0.07666444,0.7393609096330844,1.0
Styx-ps,-0.33274898,-0.20745067,0.7393237784413049,1.0
Mre11a,-0.33283094,-0.074733935,0.7392618944721598,1.0
Spg21,-0.33292112,-0.20979023,0.7391938240562501,1.0
Mlh1,-0.33307686,-0.15505883,0.7390762526967796,1.0
Txndc9,-0.33310148,-0.105423234,0.7390576893553984,1.0
Gsn,-0.33311787,-0.28196573,0.7390453138789597,1.0
Zfp454,-0.33317524,-0.88147265,0.7390020002437059,1.0
Cntrob,-0.333331,-0.18741196,0.7388844388369245,1.0
Fbxl21,-0.3337409,-1.5570754,0.7385750958847107,1.0
Pcdhb22,-0.3337409,-0.7620613,0.7385750958847107,1.0
Rnf17,-0.33378187,-1.0016534,0.7385441639159589,1.0
Nsun6,-0.33379826,-0.19452646,0.7385317912469458,1.0
Mthfd1,-0.3340114,0.044917554,0.7383709527126092,1.0
4931414P19Rik,-0.3340278,-0.2617227,0.7383585809918278,1.0
Aprt,-0.33405238,-1.5626156,0.7383400235376933,1.0
Zfp931,-0.3340852,-1.5966326,0.738315280502667,1.0
Auh,-0.33419994,-0.0032164333,0.7382286820147748,1.0
Cutc,-0.33446229,-1.7073631,0.7380307550877676,1.0
Dpagt1,-0.33453605,-0.32352367,0.737975091267742,1.0
Tm9sf1,-0.33483937,-0.16567071,0.7377462655556095,1.0
Gtf2h5,-0.33485577,-0.2832409,0.737733897260046,1.0
