names,scores,logfoldchanges,pvals,pvals_adj
Cep72,0.06476393,1.6028979,0.9483619572322999,1.0
Phf11c,0.06476393,1.7680848,0.9483619572322999,1.0
Isyna1,0.06476393,1.625568,0.9483619572322999,1.0
Sh3bgrl3,0.06476393,1.700899,0.9483619572322999,1.0
Bmx,0.06476393,1.7593914,0.9483619572322999,1.0
Sult6b1,0.06476393,1.4974091,0.9483619572322999,1.0
Gm31641,0.06476393,1.9234704,0.9483619572322999,1.0
Gm29328,0.06476393,1.7315841,0.9483619572322999,1.0
Cys1,0.06476393,1.5838062,0.9483619572322999,1.0
C730034F03Rik,0.06476393,1.6307925,0.9483619572322999,1.0
Aadat,0.06476393,1.5967435,0.9483619572322999,1.0
Ccdc169,0.06476393,1.804503,0.9483619572322999,1.0
A630031M04Rik,0.06476393,1.7167727,0.9483619572322999,1.0
1700028K03Rik,0.06476393,1.7432196,0.9483619572322999,1.0
Gm31784,0.06476393,1.6875856,0.9483619572322999,1.0
Myd88,0.06476393,1.8192805,0.9483619572322999,1.0
Gm17202,0.06476393,1.464192,0.9483619572322999,1.0
Gm34585,0.06476393,1.7393451,0.9483619572322999,1.0
Tprg,0.06476393,1.5253392,0.9483619572322999,1.0
Boll,0.06476393,1.7136897,0.9483619572322999,1.0
Fer1l6,0.06476393,1.6341459,0.9483619572322999,1.0
Uts2b,0.06476393,1.6093327,0.9483619572322999,1.0
Gm45323,0.06476393,1.7181664,0.9483619572322999,1.0
Plbd1,0.06476393,1.6369014,0.9483619572322999,1.0
Bard1,0.06476393,1.7823663,0.9483619572322999,1.0
Gm48278,0.06476393,1.6748637,0.9483619572322999,1.0
4921511C10Rik,0.06476393,1.6566392,0.9483619572322999,1.0
Prrg3,0.06476393,1.6773338,0.9483619572322999,1.0
Rgs10,0.06472567,1.6288264,0.9483924245591618,1.0
Gm26665,0.06472567,1.4920404,0.9483924245591618,1.0
Neurl2,0.06472567,1.4694328,0.9483924245591618,1.0
Gm48433,0.06472567,1.5008495,0.9483924245591618,1.0
Gng11,0.06472567,1.5268478,0.9483924245591618,1.0
Gm31138,0.06472567,1.4224964,0.9483924245591618,1.0
Sbspon,0.06472567,1.4265404,0.9483924245591618,1.0
Col6a1,0.06472567,1.5304772,0.9483924245591618,1.0
Gm47664,0.06472567,1.3953182,0.9483924245591618,1.0
Ugt1a1,0.06472567,1.5469002,0.9483924245591618,1.0
Gm35239,0.06472567,1.5036173,0.9483924245591618,1.0
Kash5,0.06472567,1.5972567,0.9483924245591618,1.0
Gm48239,0.06472567,1.3999994,0.9483924245591618,1.0
Wnt5a,0.06472567,1.5856377,0.9483924245591618,1.0
Ceacam3,0.06472567,1.5945072,0.9483924245591618,1.0
Gm5737,0.06472567,1.4516925,0.9483924245591618,1.0
Col6a2,0.06472567,1.5941768,0.9483924245591618,1.0
Gm26820,0.064706534,0.6742793,0.948407658250893,1.0
1700102H20Rik,0.0646874,1.5962005,0.9484228919614837,1.0
Gm13561,0.0646874,1.4862844,0.9484228919614837,1.0
Dpm3,0.0646874,1.43607,0.9484228919614837,1.0
Mrln,0.0646874,1.4387122,0.9484228919614837,1.0
Gm36536,0.0646874,1.3696566,0.9484228919614837,1.0
Tasp1,0.0646874,0.23047139,0.9484228919614837,1.0
Cenps,0.0646874,1.3735541,0.9484228919614837,1.0
Kbtbd12,0.0646874,1.39151,0.9484228919614837,1.0
Lncenc1,0.0646874,1.3579464,0.9484228919614837,1.0
Foxo4,0.06466827,0.72880656,0.9484381256909281,1.0
A330048O09Rik,0.06464914,1.4018233,0.9484533594392208,1.0
Cygb,0.06464914,1.3458984,0.9484533594392208,1.0
Gm45352,0.06464914,1.2525474,0.9484533594392208,1.0
E130006D01Rik,0.06464914,1.381474,0.9484533594392208,1.0
Sapcd2,0.06464914,1.4509547,0.9484533594392208,1.0
Slc22a3,0.06464914,1.2964027,0.9484533594392208,1.0
Pdf,0.06464914,1.4489799,0.9484533594392208,1.0
Ramac,0.06464914,1.4036831,0.9484533594392208,1.0
Gm17455,0.06464914,1.4506441,0.9484533594392208,1.0
Fam122c,0.06464914,1.3976074,0.9484533594392208,1.0
Pknox2,0.064610876,0.10335611,0.948483826992329,1.0
Ackr1,0.064610876,1.2890831,0.948483826992329,1.0
Gm47059,0.064610876,1.4228128,0.948483826992329,1.0
Gm43623,0.06457261,1.2605624,0.9485142946207639,1.0
Gm43024,0.06457261,1.2330825,0.9485142946207639,1.0
Tmed1,0.06455348,0.670172,0.9485295284632148,1.0
Gsto2,0.06455348,0.6627747,0.9485295284632148,1.0
Cfap221,0.064534344,1.2745634,0.9485447623244808,1.0
Bpi,0.064534344,1.1768733,0.9485447623244808,1.0
Gm49126,0.06445781,1.068124,0.9486056979575835,1.0
Tmem41a,0.06445781,1.1365572,0.9486056979575835,1.0
Wdfy4,0.064419545,0.70068556,0.9486361658868804,1.0
Smim10l2a,0.064419545,1.0331459,0.9486361658868804,1.0
Gm49970,0.06440041,0.70607895,0.9486513998796958,1.0
Ccdc125,0.06432389,0.809864,0.9487123360386074,1.0
Tpra1,0.064247355,0.6847723,0.9487732724974925,1.0
Ccdc47,0.06411342,0.25608167,0.9488799120212839,1.0
Elf4,0.06409429,0.59367466,0.9488951463137618,1.0
Mrpl17,0.064017765,0.5934506,0.948956083670435,1.0
Ipp,0.064017765,0.30915546,0.948956083670435,1.0
Ablim3,0.06388383,0.32363704,0.9490627247627896,1.0
Tanc2,0.063826434,-0.07263614,0.9491084283675048,1.0
Cntn6,0.06371164,0.31040397,0.9491998360790915,1.0
Smim10l1,0.06329072,0.57468027,0.9495350033988718,1.0
Akap12,0.06313766,0.5498391,0.9496568846411684,1.0
Zfp804a,0.06254455,0.31587583,0.9501291855545364,1.0
Tdrkh,0.06225756,0.21403307,0.9503577245547405,1.0
Gm43560,0.06183664,0.25951317,0.9506929224695172,1.0
Slc15a4,0.06168358,0.41390315,0.9508148147866032,1.0
Vamp9,0.06153052,0.74221337,0.9509367082545228,1.0
Eif4a3,0.061281797,0.45892763,0.9511347875870726,1.0
Cep104,0.061128736,0.25339177,0.9512566840623948,1.0
Itga10,0.061109602,0.7089206,0.9512719212020613,1.0
Fam161a,0.061071336,0.57627803,0.9513023955348339,1.0
Zmat2,0.060994808,0.21100636,0.9513633444139822,1.0
Spryd3,0.060994808,0.3507729,0.9513633444139822,1.0
Cutc,0.060765214,0.81581956,0.9515461927570513,1.0
Ulk3,0.060765214,0.48661667,0.9515461927570513,1.0
Pdxk,0.060765214,0.55393267,0.9515461927570513,1.0
Fchsd1,0.06072695,0.85404444,0.9515766677291662,1.0
Marveld1,0.060688686,0.8386825,0.9516071427720969,1.0
Mctp2,0.060612153,0.69664735,0.9516680930702275,1.0
1810010H24Rik,0.06057389,0.8187421,0.9516985683253387,1.0
1700016B01Rik,0.06057389,0.7268231,0.9516985683253387,1.0
Srd5a1,0.06057389,0.7949448,0.9516985683253387,1.0
Aprt,0.06057389,0.7597084,0.9516985683253387,1.0
Trim14,0.060535625,0.7853742,0.9517290436510877,1.0
Pxylp1,0.060535625,0.83737665,0.9517290436510877,1.0
Cnot9,0.060535625,0.27583486,0.9517290436510877,1.0
D130017N08Rik,0.06049736,0.7270698,0.9517595190474303,1.0
Gm20125,0.060459092,0.6475158,0.9517899945143218,1.0
Lrrc43,0.06042083,1.5342025,0.9518204700517178,1.0
Tmem132e,0.06042083,1.4897274,0.9518204700517178,1.0
Rhoh,0.06042083,1.5117435,0.9518204700517178,1.0
Cyp26b1,0.06042083,1.6427846,0.9518204700517178,1.0
Zfp268,0.06042083,1.4468651,0.9518204700517178,1.0
Gm29695,0.06042083,1.7588427,0.9518204700517178,1.0
Gm37256,0.06042083,1.4895873,0.9518204700517178,1.0
Gm40617,0.06042083,1.506202,0.9518204700517178,1.0
Slc25a48,0.06042083,1.4723148,0.9518204700517178,1.0
Gm26981,0.06042083,1.4369527,0.9518204700517178,1.0
Rhox8,0.06042083,1.5423046,0.9518204700517178,1.0
Gm47888,0.06042083,1.6959896,0.9518204700517178,1.0
Gm27246,0.06042083,1.4927549,0.9518204700517178,1.0
Egfl8,0.06042083,1.701153,0.9518204700517178,1.0
Yars2,0.06042083,1.578785,0.9518204700517178,1.0
Gm15672,0.06042083,1.4320838,0.9518204700517178,1.0
Cox4i2,0.06042083,1.6145597,0.9518204700517178,1.0
Mtarc1,0.06042083,1.4348947,0.9518204700517178,1.0
Gm6994,0.06042083,1.3939692,0.9518204700517178,1.0
Gm12925,0.060382564,1.4409297,0.951850945659574,1.0
4930430F21Rik,0.060382564,1.2739152,0.951850945659574,1.0
1700112J16Rik,0.060382564,1.4548764,0.951850945659574,1.0
C030004G16Rik,0.060382564,1.3591517,0.951850945659574,1.0
Prss23,0.060382564,1.4282849,0.951850945659574,1.0
Gm49457,0.060382564,1.4446352,0.951850945659574,1.0
Gm16630,0.060382564,1.4848264,0.951850945659574,1.0
Slc25a24,0.060382564,1.3918488,0.951850945659574,1.0
Dennd2c,0.060382564,1.4069644,0.951850945659574,1.0
Gm50410,0.060382564,1.301178,0.951850945659574,1.0
