,KO_n,KO_s,KO_l,KO_p
4117,E4f1,2.018997,0.3153076,0.33077015015030176
4118,Zfp956,2.0186615,0.23642306,0.33095723062995264
4119,Ccdc93,2.0183263,0.16953579,0.3311444023351126
4120,Gm44593,2.0172918,0.2012809,0.3318854228426182
4121,Derl2,2.0162807,0.3226503,0.3325488338493034
4122,Ilvbl,2.016242,0.3526095,0.3325488338493034
4123,Txndc15,2.0161593,0.33695218,0.3325488338493034
4124,Cox11,2.0154371,0.41255742,0.33304421379298405
4125,Rchy1,2.0149212,0.29487053,0.3333590266212297
4126,Crebl2,2.014844,0.31726232,0.3333590266212297
4127,Prpf4,2.0146246,0.30960184,0.3334549546381522
4128,Zfyve16,2.0141783,0.17068464,0.3337316098604131
4129,Aup1,2.0139074,0.2761203,0.33386872602809653
4130,Sec31a,2.0136187,0.3641733,0.33402028126828337
4131,Hsf1,2.0127544,0.50898063,0.3345725061164592
4132,2810459M11Rik,2.0127287,0.30995286,0.3345725061164592
4133,Hnrnpr,2.0123985,0.093735866,0.334694597088651
4134,Alg14,2.0123754,0.5052598,0.334694597088651
4135,Nipa2,2.0122797,0.2014391,0.334694597088651
4136,Mrps5,2.0114956,0.13692704,0.3351756388993763
4137,Dcaf17,2.01148,0.26028702,0.3351756388993763
4138,Rhoj,2.0112944,0.20496947,0.3352452814625467
4139,Spata1,2.0108972,0.38613784,0.3354840023924939
4140,Mcm3ap,2.0091276,0.40903458,0.3367545715841753
4141,Abca3,2.0090966,0.19940731,0.3367545715841753
4142,Flii,2.0090065,0.42267922,0.3367545715841753
4143,Drc3,2.0089161,0.41780734,0.3367545715841753
4144,Tubgcp4,2.0082402,0.19673365,0.337144895450304
4145,Nae1,2.0082326,0.29723683,0.337144895450304
4146,Tor1aip2,2.0068035,0.27667615,0.3382141597804864
4147,Strn4,2.0065508,0.17927012,0.33833832042205575
4148,Cryl1,2.0059369,0.30712456,0.33875338930850757
4149,Polk,2.0042627,0.2388502,0.3400248349416705
4150,Usp46,2.003249,0.24319069,0.34076518939118394
4151,Ece2,2.002599,0.3561476,0.3412119494894025
4152,Sun1,2.0017838,0.32155782,0.34179316421516814
4153,Srp19,2.0014253,0.30997422,0.3420042431951667
4154,Heph,2.0008526,0.48223352,0.3423894192392959
4155,Ip6k2,2.0006876,0.13893251,0.3424435062579495
4156,Cdadc1,2.000373,0.21719772,0.3425936851784184
4157,Gm26782,2.000306,0.39089108,0.3425936851784184
4158,Heatr6,2.00004,0.24060524,0.3427296519053881
4159,Stxbp1,1.9978682,0.11077589,0.34441960439805247
4160,Ncaph2,1.9975998,0.34684715,0.34455824318678935
4161,Naa35,1.9972465,0.06819103,0.3447665056952273
4162,Exoc7,1.9967873,0.21007086,0.345061368842031
4163,Eif2d,1.996305,0.39808992,0.3453754404631506
4164,Dhcr7,1.9960831,0.295942,0.34547639662998886
4165,Fancl,1.9954951,0.2538365,0.3458774364814765
4166,Capn15,1.9950281,0.08026584,0.34617942450148775
4167,Odad1,1.994894,0.5847924,0.3462086571350119
4168,Ppm1g,1.9942724,0.25178167,0.34662696170270973
4169,Rxylt1,1.9941872,0.33726665,0.34662696170270973
4170,Tomm34,1.9940325,0.43416023,0.3466731937879092
4171,0610030E20Rik,1.9938725,0.23876348,0.34672367888429106
4172,Vps36,1.9926447,0.14289398,0.34765191526215666
4173,Selenoo,1.9923764,0.33794117,0.34777223292766823
4174,Prim2,1.9923016,0.43948638,0.34777223292766823
4175,Mios,1.9915535,0.30759776,0.34830720260742143
4176,Vps33a,1.9909164,0.16828646,0.3487513392448706
4177,Nprl3,1.9903902,0.36257052,0.3491043589939057
4178,Clcn7,1.9897091,0.36104417,0.349580978279021
4179,Slc39a7,1.9896164,0.21440138,0.349580978279021
4180,Zbtb26,1.9892758,0.34282115,0.34977227599487803
4181,Rap1a,1.9891882,0.13621412,0.34977227599487803
4182,Pcif1,1.9887161,0.3381388,0.3500813240525903
4183,Cep70,1.9884633,0.30339393,0.3502091099577162
4184,Ttc7,1.9883292,0.3968682,0.35023873262732813
4185,Atp13a2,1.9876869,0.63441086,0.3506891391424838
4186,Garre1,1.987336,0.1173008,0.3508983571735785
4187,Slc17a5,1.9869517,0.32961696,0.35113548793326116
4188,Phrf1,1.9858373,0.10327801,0.35197887493242486
4189,Derl1,1.9854169,0.5218006,0.35223328120691566
4190,Fbn1,1.9853008,0.48993522,0.35223328120691566
4191,Zfp64,1.9852363,0.113252066,0.35223328120691566
4192,F630040K05Rik,1.9851305,0.4976451,0.3522395035393681
4193,Angel2,1.9841349,0.23051909,0.35298617937138077
4194,Reep5,1.9838486,0.22327678,0.35314280668966347
4195,Entpd4b,1.983717,0.14853555,0.3531705444092799
4196,Zwint,1.9830515,0.16447519,0.3536433641873136
4197,Tapt1,1.9827291,0.1763433,0.3538303712655464
4198,Fkbp8,1.9822286,0.38824755,0.3541660449542947
4199,Erdr1,1.9817076,0.44048464,0.35451922088046195
4200,Zfp444,1.9808977,0.29876158,0.35511435667641283
4201,Zfp738,1.9799458,0.36327064,0.3558291970397063
4202,Tst,1.9797523,0.3071383,0.3559090102345862
4203,Ints9,1.9794815,0.1181035,0.3560537330125991
4204,Dph6,1.9792467,0.20519672,0.3561682207281522
4205,Evc2,1.9790223,0.33722243,0.356274091081739
4206,Pik3c3,1.978674,0.4685508,0.3564839002734048
4207,Cdk9,1.9784213,0.26799756,0.35661368208162697
4208,Cand1,1.977467,0.11616385,0.3572505544743787
4209,Ice2,1.9773043,0.21446133,0.3573046612636169
4210,B3gat2,1.9767498,0.43763143,0.3576886027580379
4211,Zdhhc6,1.9764506,0.120866284,0.3578489595118319
4212,Osbpl6,1.9762442,0.095884405,0.3578489595118319
4213,Zfp641,1.9762338,0.0769697,0.3578489595118319
4214,Vps37a,1.9761668,0.13875702,0.3578489595118319
4215,Lgi1,1.9756225,0.10793003,0.35822468928162526
4216,Eef2k,1.9748333,0.10915475,0.35880739944673556
4217,Mb21d2,1.9747223,0.3042934,0.3588182393112347
4218,Mxd1,1.9746062,0.2916142,0.3588334463956503
4219,Septin2-1,1.9744024,0.28954688,0.35892265497235815
4220,Dnajc8,1.9742916,0.18931359,0.35893354034932434
4221,Rnf4,1.9739432,0.53057086,0.35914469846450653
4222,Fbxo4,1.9735305,0.31560922,0.3593930276597969
4223,Tubgcp6,1.9734532,0.4732995,0.3593930276597969
4224,Abhd4,1.9732674,0.59334457,0.3594671453974944
4225,Aggf1,1.9721377,0.4000262,0.3603395132513567
4226,Ccnt1,1.9712193,0.084397905,0.3610342849177718
4227,Taf4b,1.9698677,0.29432455,0.3620982040146755
4228,Il1rap,1.969455,0.24137926,0.362365687232835
4229,Hykk,1.9692073,0.5892905,0.3624425044229406
4230,Nmi,1.9683948,0.35814503,0.36301755236342687
4231,Copg1,1.9672753,0.25683564,0.36388809845415926
4232,Eif2b4,1.9665813,0.13375527,0.36435047977225493
4233,Ssx2ip,1.9665375,0.2322973,0.36435047977225493
4234,Pcdhga1,1.9662564,0.5108542,0.3645069338481873
4235,Azi2,1.9660397,0.23792605,0.36460835108927575
4236,Hectd2os,1.9650569,0.10798208,0.3653649422890515
4237,Rab22a,1.9648196,0.1535276,0.3654842168441133
4238,Spire1,1.9644172,0.21829592,0.3657449028687579
4239,Tmem29,1.9620699,0.3683412,0.3676756658948902
4240,Vps9d1,1.960989,0.2542563,0.36851301448844015
4241,Top3b,1.9609013,0.22348689,0.36851301448844015
4242,Map7d1,1.9607027,0.12677869,0.36859974002816215
4243,Cyld,1.9595935,0.19200638,0.3694721837741538
4244,Rarb,1.9589692,0.08773345,0.36992687850521394
4245,Snx4,1.9584069,0.11630073,0.37032845584964036
4246,Cdk5rap1,1.9581,0.2255644,0.3705092891418887
4247,Cyp4f16,1.957855,0.5317865,0.3705942080578915
4248,Marchf8,1.9578059,0.21298179,0.3705942080578915
4249,Slc39a9,1.9561008,0.21665806,0.37190695645741884
4250,C030005K06Rik,1.9560957,0.18730234,0.37190695645741884
4251,Rfx5,1.9554844,0.51160556,0.37235285780346666
4252,Gm49223,1.9552083,0.08316729,0.3725075928205527
4253,Tnfaip8,1.9545867,0.16044271,0.37296305269986935
4254,Slc25a3,1.9544423,0.14164428,0.37300350647969593
4255,Tln2,1.9540063,0.113467865,0.37329770929986744
4256,Gm30373,1.9535549,0.20636785,0.37360558592422594
4257,Socs7,1.9531964,0.10169239,0.3738327122934714
4258,Wnt7a,1.9527088,0.12794575,0.3741724502890048
4259,AW549877,1.9525205,0.19171903,0.3742513005629934
4260,Gm12239,1.9516435,0.27216467,0.37492939357793587
4261,Kcnj16,1.9515481,0.36700413,0.37492939357793587
4262,Skiv2l,1.9514191,0.4556684,0.3749565485562515
4263,Aimp1,1.9505627,0.2511394,0.37561976509796324
4264,Katna1,1.9503409,0.34740946,0.37572823122260396
4265,Srpk1,1.9501886,0.08266709,0.37577576986849087
4266,Metrn,1.9497862,0.25516814,0.376042391687399
4267,Mmut,1.9492677,0.42064464,0.37641088957894336
4268,Zswim4,1.9469204,0.377697,0.3783866492261981
4269,Psmb2,1.945659,0.12722385,0.37941189565253025
4270,Ascc1,1.9454423,0.38473874,0.37951665851168687
4271,Paxbp1,1.9449059,0.081195585,0.37990382994494687
4272,Atg4b,1.9446685,0.294462,0.3800269406532621
4273,Tra2a,1.944261,0.16576752,0.3803005308019002
4274,Glcci1,1.9440262,0.18073934,0.380421477812229
4275,Cfap36,1.9436522,0.14370148,0.38066564413237364
4276,Prpf18,1.9404614,0.29363447,0.3834093192279072
4277,Ypel2,1.9400332,0.13699776,0.3837032147092258
4278,Sp1,1.9393315,0.20281912,0.38424092929496007
4279,Cdc14b,1.9382688,0.16152154,0.3851015968221851
4280,Rnft2,1.9379618,0.25826037,0.38528822328334256
4281,Ube4a,1.9377012,0.07755189,0.38536666006988496
4282,Cibar1,1.9376781,0.41581035,0.38536666006988496
4283,Parp12,1.9373736,0.32964396,0.3854935634526885
4284,Ogfod1,1.9373401,0.29472572,0.3854935634526885
4285,Vcan,1.9360762,0.21792299,0.38651586314004654
4286,Alkbh3,1.9360014,0.36847273,0.38651586314004654
4287,Itpr2,1.9358776,0.19342625,0.3865390539223423
4288,Cwc22,1.9351475,0.24746707,0.3870085019935307
4289,Usp36,1.9350754,0.06169166,0.3870085019935307
4290,Gtf2ird2,1.9350599,0.3056582,0.3870085019935307
4291,Huwe1,1.9347297,0.17176135,0.38721675040154613
4292,Desi1,1.9345491,0.106333464,0.38729091436585594
4293,Rnf170,1.9332775,0.25789514,0.3882868867652957
4294,Trappc12,1.9332439,0.2530635,0.3882868867652957
4295,Mcts1,1.9329008,0.23530105,0.3884494943978901
4296,Ttc1,1.9328673,0.16471463,0.3884494943978901
4297,Sap30l,1.9327434,0.5026074,0.3884728677093443
4298,Cflar,1.9323024,0.13780774,0.38878153146258837
4299,Gm47121,1.9318225,0.47039694,0.38912521696174285
4300,Crtc1,1.9316368,0.23243532,0.389204369763115
4301,Slc35a2,1.9313041,0.3394206,0.38935578023508993
4302,Ndufv3,1.9312731,0.22598158,0.38935578023508993
4303,Bace1,1.9308037,0.30005887,0.3896905868887564
4304,Limd1,1.9306928,0.06965437,0.3897024660394338
4305,Hipk3,1.9293282,0.34960216,0.39084522050578036
4306,Gm4924,1.9287916,0.10494902,0.3912416699510138
4307,Csnk1g2,1.9286885,0.32943252,0.39124658472810775
4308,Cluap1,1.9282397,0.10688195,0.39156403397041467
4309,Meaf6,1.9264727,0.24878484,0.3930761347005166
4310,Tmprss7,1.9256473,0.3387424,0.3937368092580126
4311,Pdcd10,1.9241176,0.2761188,0.3950394952435839
4312,Klc2,1.923563,0.29836664,0.3954558093570115
4313,Tmem161a,1.922428,0.35022366,0.3964024129079014
4314,Ncapd2,1.9220876,0.34654382,0.39662415462066486
4315,Mdn1,1.9209164,0.0824392,0.39760608093168015
4316,Mta1,1.9206095,0.31117782,0.3977976328398292
4317,Baz1a,1.9201968,0.2312715,0.398086202358012
4318,Frmd8,1.919668,0.49474669,0.3984814202231966
4319,Thoc7,1.9193636,0.15604872,0.39867095264356917
4320,Axdnd1,1.9184995,0.33255246,0.3993747283899615
4321,Ccl25,1.9182674,0.14957899,0.3994982022480659
4322,Trafd1,1.9179913,0.24513072,0.3996620368894704
4323,Lancl1,1.9173257,0.25136298,0.4001843383774962
4324,2810004N23Rik,1.9166138,0.10792946,0.4007499731403561
4325,Czib,1.9164771,0.28275517,0.40078583310799426
4326,Anapc4,1.9147618,0.24157004,0.4022788335422031
4327,Nol10,1.9133404,0.20092545,0.4035037784794978
4328,Ptpn11,1.9123344,0.1623101,0.4043460788455349
4329,Slc49a4,1.911767,0.2752955,0.4047822027761741
4330,Rbms2,1.9111711,0.14310206,0.4051564820720921
4331,Ankrd26,1.9111686,0.1971551,0.4051564820720921
4332,Cxxc1,1.9106681,0.6391063,0.40541606011200904
4333,Kcnc4,1.9106243,0.2979963,0.40541606011200904
4334,Ythdf2,1.9105959,0.08518379,0.40541606011200904
4335,Mon1a,1.9098272,0.22997974,0.4060404494015431
4336,Dab2,1.909466,0.29408044,0.4062258484628247
4337,Map7,1.9094325,0.07118895,0.4062258484628247
4338,0610043K17Rik,1.90805,0.27544367,0.40742418764652294
4339,Eml6,1.9061075,0.095702864,0.4091496495852702
4340,Cdyl2,1.9060096,0.31093407,0.40914979506204213
4341,Mtmr6,1.9050035,0.23061317,0.41000148832943667
4342,Oxa1l,1.9047197,0.36849883,0.4101759880178269
4343,Prkaa2,1.9034687,0.079331115,0.41125992093379476
4344,Herpud2,1.9032365,0.19762786,0.4113862826249308
4345,Tarsl2,1.9029812,0.35859126,0.4115345391875901
4346,Pip4p1,1.9026562,0.5336446,0.4117484339521966
4347,Ywhae,1.9024782,0.10593866,0.4118239147402487
4348,Ube2j2,1.90116,0.1189576,0.41288223019309833
4349,Arf3,1.9008144,0.2248185,0.4131161781004254
4350,Gm12743,1.8994086,0.23003483,0.4143333688431116
4351,Txn2,1.8993312,0.28198785,0.4143333688431116
4352,Acot8,1.8983638,0.48592803,0.41515696548830977
4353,Mcur1,1.8979048,0.08593522,0.4154995881731726
4354,Fcf1,1.8973656,0.14567085,0.4159183488880536
4355,Pcdh1,1.8970664,0.2283724,0.41610956360573215
4356,Msrb2,1.8964808,0.48553932,0.41657294852363325
4357,Tex10,1.8963648,0.30748573,0.41659028946101584
4358,Snx5,1.896192,0.29479006,0.4166615927562421
4359,Kat2a,1.8946933,0.27282262,0.4179950734837887
4360,Mthfd2l,1.8945875,0.30853328,0.4180026253675302
4361,Cnep1r1,1.892818,0.3740491,0.4195984469760298
4362,2700097O09Rik,1.892124,0.0800521,0.42016861031945074
4363,Pfas,1.8907156,0.26158163,0.42142450670703097
4364,Nid2,1.8903751,0.23436499,0.4216573194513837
4365,Klhl15,1.8901739,0.21146008,0.42175649319156194
4366,Triobp,1.889364,0.2203558,0.4224086123266292
4367,Lactb2,1.8892583,0.34707868,0.4224086123266292
4368,Mier3,1.8892015,0.31133223,0.4224086123266292
4369,Homer1,1.8885127,0.08062251,0.42297684416014386
4370,Ppp2r3d,1.888278,0.27735236,0.4231085661604539
4371,Sergef,1.8876461,0.21588701,0.4236228723705659
4372,Fzd3,1.8872436,0.15780225,0.42391634634534203
4373,Wdfy1,1.8861835,0.1536629,0.42484472756804176
4374,Purg,1.8853812,0.0707788,0.4255252868295155
4375,Gramd1a,1.8848138,0.08044235,0.4259422409938633
4376,Atp11c,1.8847544,0.1381001,0.4259422409938633
4377,Lrpprc,1.8842798,0.17557697,0.4263069156643428
4378,Rbm18,1.8839909,0.28235048,0.4264919321397313
4379,Cep290,1.883849,0.1647575,0.42653459104470537
4380,Pex19,1.8827244,0.43465105,0.4275300767372552
4381,Knop1,1.8818834,0.08384919,0.42819667414361634
4382,Cdc5l,1.8818421,0.08327288,0.42819667414361634
4383,Aasdh,1.8814552,0.45537832,0.4284776253634446
4384,Sec23a,1.8809006,0.207714,0.4289218175555263
4385,Ttll4,1.8805395,0.10168997,0.42912051261228085
4386,Spats1,1.8805008,0.4488122,0.42912051261228085
4387,Gm14093,1.8802712,0.39142725,0.4291937866337933
4388,Prickle1,1.88023,0.09782492,0.4291937866337933
4389,Steep1,1.8792833,0.13176206,0.4300206116420915
4390,Gm20515,1.8779032,0.5397533,0.4312719535933157
4391,Mocs1,1.8769282,0.28076437,0.4321297561524628
4392,Ppp1r16a,1.8756462,0.2609824,0.4332898962024096
4393,Rbck1,1.8749936,0.15054613,0.4338342656454989
4394,Syap1,1.8742404,0.19093446,0.4344780513033581
4395,Fntb,1.8740185,0.22176278,0.43459993147562614
4396,Purb,1.8739128,0.16390307,0.43460772092683014
4397,Hsd17b12,1.8734717,0.14133793,0.4349452891061751
4398,Pdss1,1.8732524,0.10842524,0.43500407454447987
4399,Tmf1,1.8732163,0.11963361,0.43500407454447987
4400,Plxna2,1.8721794,0.07120985,0.4359287453349203
4401,Rnf182,1.8713926,0.07906997,0.4365751896776195
4402,AW047730,1.8713281,0.12664568,0.4365751896776195
4403,Psmd3,1.8711166,0.4517153,0.436687400231793
4404,Ube2w,1.871016,0.11793757,0.43669018987994274
4405,Fam114a1,1.8695406,0.39402285,0.4379859687626176
4406,Fech,1.869458,0.3346726,0.4379859687626176
4407,Nop56,1.8692851,0.06250194,0.4379859687626176
4408,Gmppa,1.8692284,0.41894433,0.4379859687626176
4409,Eef1d,1.8692155,0.26178274,0.4379859687626176
4410,Cab39,1.8687203,0.14961675,0.4383792467692517
4411,Orc5,1.8675749,0.2894684,0.4394169402963934
4412,Hdac6,1.8671855,0.26971522,0.4397063054398995
4413,Parl,1.8668888,0.28891632,0.4399036633472501
4414,Slc35b3,1.8667392,0.2877353,0.4399551603146149
4415,Hpf1,1.8663548,0.30765584,0.44020230613009204
4416,Gm47781,1.8662491,0.65989774,0.44020230613009204
4417,Ap1b1,1.8661097,0.21275355,0.44020230613009204
4418,Plcd1,1.8660995,0.3060253,0.44020230613009204
4419,Paxx,1.8638914,0.21407269,0.44219412284272286
4420,Tsen2,1.8638037,0.16545832,0.44219412284272286
4421,Clptm1,1.8635045,0.12765488,0.4423949720844861
4422,D3Ertd751e,1.862839,0.12820438,0.44296121541194233
4423,Rnf6,1.8621348,0.30435342,0.4435361205130903
4424,Dcun1d4,1.8620677,0.14755382,0.4435361205130903
4425,Coq5,1.861477,0.44189188,0.4440287387300176
4426,Isy1,1.8607625,0.33519307,0.4445315855880313
4427,Fbxw7,1.860729,0.09943176,0.4445315855880313
4428,Arhgef2,1.8605896,0.19113351,0.4445315855880313
4429,Bpnt2,1.8604761,0.41810966,0.4445315855880313
4430,Nat8f6,1.8604504,0.19620143,0.4445315855880313
4431,Acox3,1.8603884,0.58073115,0.4445315855880313
4432,Epha4,1.8598622,0.08132203,0.44496051507412465
4433,Dhrs7,1.8595759,0.71072257,0.44514950339012854
4434,Cplx2,1.859416,0.24893138,0.4452119718954879
4435,Parp11,1.859238,0.2717049,0.44529254441630606
4436,Plin3,1.8582114,0.6249812,0.44622385928979325
4437,Cd38,1.8576928,0.67848736,0.446646311148823
4438,Snta1,1.8574555,0.14879443,0.44678666142947704
4439,Cep57l1,1.8566456,0.2505761,0.4475025376324649
4440,Ldb2,1.8564521,0.15050985,0.4475242938154286
4441,Abcd4,1.8564289,0.20008746,0.4475242938154286
4442,Gm26621,1.8563076,0.3888487,0.4475481652779443
4443,Ccdc186,1.8549354,0.21867341,0.44876953339687087
4444,Amph,1.8548993,0.07808216,0.44876953339687087
4445,Cdkn1b,1.8531194,0.45055342,0.4504673391403176
4446,Evl,1.8529956,0.121144146,0.45049390275891577
4447,Rragb,1.8525674,0.23313335,0.4508282302487922
4448,Anp32a,1.8512363,0.15886772,0.4520771093810981
4449,Gm20342,1.8508159,0.081329994,0.45236124219827145
4450,Ap3d1,1.8506973,0.12786622,0.45236124219827145
4451,ENSMUSG00000107877,1.8505812,0.1766795,0.45236124219827145
4452,Gmcl1,1.8504987,0.13822603,0.45236124219827145
4453,Snx18,1.8503,0.34208193,0.45236124219827145
4454,Gk5,1.8502846,0.1930509,0.45236124219827145
4455,Nisch,1.8502691,0.16053414,0.45236124219827145
4456,Fdxr,1.8501762,0.106566496,0.45236124219827145
4457,Atg13,1.8500215,0.2554494,0.4524193942079091
4458,Snx14,1.8496578,0.074482925,0.4526894654718925
4459,Ccdc171,1.8493611,0.18068157,0.4528916099796712
4460,Brox,1.8484557,0.27148315,0.4537120935765393
4461,Abhd16a,1.8482648,0.6841766,0.45380710072036184
4462,Ccdc59,1.8478107,0.13661796,0.4541696373278688
4463,Odr4,1.8462914,0.18703221,0.45551426763472885
4464,Synj2bp,1.8462528,0.089316264,0.45551426763472885
4465,Idh3a,1.8461702,0.59243625,0.45551426763472885
4466,Mtmr11,1.8461006,0.29326746,0.45551426763472885
4467,Pskh1,1.8455305,0.27838945,0.4559962847288691
4468,Dtx1,1.845288,0.06521775,0.4561443365364362
4469,Fbxo28,1.84454,0.25340837,0.4568086688386949
4470,Eif4b,1.8442382,0.15732259,0.45701755559320356
4471,Dnajc19,1.8435752,0.2520431,0.4575958068842237
4472,Asphd2,1.8433301,0.29188544,0.45774691392348593
4473,Farsa,1.8431703,0.18321253,0.457810960046893
4474,Paip1,1.8426131,0.17090966,0.45825598570724607
4475,Guf1,1.8425409,0.17110963,0.45825598570724607
4476,Ptpn23,1.8423809,0.33740106,0.45832011741775236
4477,Plcd4,1.8416277,0.18006273,0.4589922073153747
4478,Ago1,1.8407972,0.26682007,0.4597445141702765
4479,Fam228a,1.8402245,0.06743781,0.460232700601604
4480,Timm9,1.8394661,0.15278076,0.46091231171294245
4481,Epg5,1.8392442,0.13597396,0.46104041717227306
4482,Mvk,1.8390585,0.26197493,0.4611313986516396
4483,Yy1,1.8387825,0.2944313,0.4611921145080651
4484,Rap1gap2,1.8387438,0.13098016,0.4611921145080651
4485,Rfx2,1.8387077,0.28145573,0.4611921145080651
4486,Tpmt,1.8376372,0.22350988,0.4620143019922313
4487,Dpy30,1.8375237,0.29111528,0.4620143019922313
4488,Ncam1,1.8374696,0.14508264,0.4620143019922313
4489,Iqck,1.837467,0.324611,0.4620143019922313
4490,Sppl2a,1.8374231,0.12645859,0.4620143019922313
4491,Dalrd3,1.8363758,0.2920253,0.46290169515234236
4492,Tbc1d2b,1.8363681,0.32474732,0.46290169515234236
4493,Mark1,1.8360921,0.13914132,0.46308624501998097
4494,Serinc3,1.8357517,0.20405018,0.4633374438488375
4495,Rnf8,1.8344722,0.20246702,0.4645176734767974
4496,Wdr91,1.8344154,0.1589057,0.4645176734767974
4497,Ephb3,1.8342117,0.49128565,0.46462798895526314
4498,Otud4,1.8338505,0.14465395,0.46490121453930694
4499,Ift43,1.8337113,0.31675175,0.4649448478971407
4500,Nf2,1.8318437,0.13758473,0.46678073388297875
4501,Ubr7,1.8317456,0.22294384,0.4667816056172078
4502,Zfp943,1.8315625,0.22766797,0.46687090975593587
4503,Dek,1.8306261,0.16568257,0.4676421995712437
4504,Gtf3c3,1.8306261,0.14469285,0.4676421995712437
4505,Chpf2,1.8305126,0.37048674,0.46765920835075875
4506,Mfhas1,1.8302934,0.08777626,0.4677247323614445
4507,Nol11,1.8302392,0.33661646,0.4677247323614445
4508,4930432B10Rik,1.8301077,0.47499764,0.4677247323614445
4509,Pgghg,1.828578,0.7067491,0.46916814277425706
4510,Ptpdc1,1.8278557,0.28012714,0.46982030350517356
4511,Kcnc3,1.8273708,0.07164158,0.47022525423751704
4512,Osgepl1,1.8268033,0.4942166,0.47071675903290155
4513,Ccnd2,1.824229,0.07584719,0.47329129630355127
4514,Ergic3,1.8241516,0.13339683,0.47329129630355127
4515,Igbp1,1.8237259,0.27236256,0.4736362517613882
4516,Kdm6b,1.8219255,0.09206225,0.4754283978884419
4517,Babam1,1.8217114,0.33672282,0.4755515858289335
4518,B3gat3,1.8215051,0.31834927,0.4756666512760659
4519,Scamp1,1.8206848,0.11898634,0.47642936552327664
4520,Ndufs7,1.819867,0.23766176,0.4771903180456751
4521,1700025G04Rik,1.8197458,0.0710718,0.4772084267614894
4522,Ppp3cb,1.8196555,0.1427129,0.4772084267614894
4523,Zbtb17,1.8190132,0.42116892,0.4777665690366221
4524,Hars2,1.8189332,0.5214521,0.4777665690366221
4525,Ftx,1.8187218,0.089119755,0.4778875434554996
4526,Ybx3,1.8184097,0.19017427,0.4781150035516271
4527,Dmac2l,1.8181233,0.47574803,0.47831524651195234
4528,Ccser2,1.8178293,0.07143744,0.478523755553871
4529,Naxe,1.8175455,0.5903493,0.47865135339236015
4530,Atp5h,1.8161242,0.27320144,0.4799861889385819
4531,Rdh5,1.8159695,0.3063617,0.4799861889385819
4532,Tvp23a,1.8159642,0.3804711,0.4799861889385819
4533,Ap3m2,1.8138852,0.35939774,0.48209353963767293
4534,G2e3,1.81242,0.40942246,0.4835524489588658
4535,Tchp,1.8120667,0.14770608,0.4838260827006456
4536,Rpl13,1.8117803,0.27493864,0.4840281724474541
4537,Pink1,1.8113934,0.40255776,0.4843378726120056
4538,Fastk,1.8112695,0.3662471,0.48436638007849
4539,Ppcdc,1.8104312,0.1356734,0.4851592825688819
4540,Gss,1.8088552,0.4957136,0.48655808249840443
4541,Bcorl1,1.8088474,0.14650731,0.48655808249840443
4542,Ikzf5,1.8088346,0.24993004,0.48655808249840443
4543,Ldb1,1.8083264,0.2202933,0.48699919983726553
4544,5031434O11Rik,1.8074726,0.35808218,0.487812111150066
4545,Psat1,1.8073306,0.21101871,0.48786018530796704
4546,6030442K20Rik,1.8072301,0.39422163,0.48786390601000523
4547,Dusp16,1.8069412,0.16639885,0.4880701123004452
4548,Pptc7,1.8066058,0.15526825,0.48832634198004593
4549,Ttc39c,1.8056437,0.1900202,0.48925767296223094
4550,Mrrf,1.8055198,0.6064372,0.48928643498617613
4551,Fam98a,1.8047744,0.28294754,0.4899854193723574
4552,Cops7b,1.8046042,0.34089598,0.4900643103928664
4553,Fgfr1op2,1.8031312,0.16341536,0.49155029864369865
4554,Tenm1,1.8029532,0.06947812,0.49163773596128363
4555,Stam,1.802654,0.19142999,0.49185634947785495
4556,Wtap,1.8024889,0.18468389,0.49186039256696207
4557,Atf6b,1.8023652,0.6095463,0.49186039256696207
4558,Naxd,1.8023574,0.3187059,0.49186039256696207
4559,Atm,1.802262,0.11415543,0.49186039256696207
4560,Cyp4f17,1.8020169,0.24844562,0.49202051466418933
4561,Gm37885,1.801795,0.27855015,0.4921555613415701
4562,Rnf103,1.8016893,0.24024527,0.49216501792660294
4563,Taf13,1.8015733,0.28645727,0.49218565793374924
4564,Terf1,1.8009516,0.22142516,0.49275368440405115
4565,Psmc6,1.800433,0.2731506,0.49321037264174117
4566,Laptm4a,1.7999481,0.24042194,0.4936310178293571
4567,Rcbtb2,1.7995766,0.39807764,0.4939287696149787
4568,Rad52,1.7992182,0.3430065,0.4942126621782566
4569,Emc2,1.7983669,0.09764218,0.4948800886320515
4570,Rmdn2,1.7983463,0.29619926,0.4948800886320515
4571,Lmln,1.7983128,0.43384072,0.4948800886320515
4572,Map9,1.7979748,0.059642296,0.4951319459884766
4573,Hdac3,1.7978871,0.236092,0.4951319459884766
4574,Pstk,1.7974744,0.2105932,0.4954753159921384
4575,Rpl6,1.7969456,0.06764567,0.49583814115954755
4576,Rack1,1.7969276,0.34157327,0.49583814115954755
4577,Pdk2,1.7968502,0.10645657,0.49583814115954755
4578,Slc9a1,1.796587,0.1817331,0.4960190420268368
4579,Slc9a3r1,1.7963704,0.0633825,0.49614945330292903
4580,Dvl1,1.7960969,0.2884897,0.49634169337003736
4581,Wdr11,1.795888,0.19569865,0.49646376020742916
4582,Gosr1,1.7950807,0.2190074,0.49717467721043
4583,Dab2ip,1.7950419,0.18736547,0.49717467721043
