 ,Area,Mean,IntDen,RawIntDen,source_file
3,2454.486,8.259,20270.578,62790.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
4,4449.907,7.43,33062.446,102414.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
5,4618.425,7.903,36498.985,113059.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
6,3087.559,7.95,24546.479,76035.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
7,3514.019,7.137,25078.182,77682.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
8,2677.886,8.038,21526.069,66679.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
9,1594.787,8.842,14101.272,43680.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
10,910.061,9.041,8228.002,25487.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
11,29697.252,7.884,234119.527,725207.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
1,3121.133,9.046,28233.535,87456.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
2,3882.692,9.506,36907.044,114323.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
3,4153.87,9.527,39575.891,122590.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
4,5759.956,8.989,51778.269,160388.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
5,4532.552,9.679,43868.901,135888.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
