"Image","bin","count"
"20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,10
"20250704_L57343-3M_S3L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,11
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",8,28
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",7,20
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",9,18
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",1,32
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",2,21
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",3,24
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",10,12
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",5,27
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",6,25
"20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",4,23
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",4,29
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",5,44
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",1,27
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",2,33
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",3,19
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",9,17
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",10,12
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",6,33
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",7,29
"20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",8,27
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,23
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,21
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",7,23
"20250704_L57343-3M_S4R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",8,19
