"Animal_ID","Bin","Area","Mean","IntDen","RawIntDen","source_file","Image","Genotype","Sex","Age"
"L57343-3M",2,2145.335,2.978,6388.38,19853,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",3,2386.351,2.505,5978.427,18579,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",4,2688.184,2.421,6507.44,20223,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",5,3571.16,2.273,8117.004,25225,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",6,2666.303,2.502,6669.941,20728,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",7,1791.694,2.389,4281.016,13304,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",8,2202.612,2.432,5356.74,16647,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",9,1130.749,2.603,2943.038,9146,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",10,712.43,3.494,2489,7735,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",11,21585.922,2.666,57556.237,178866,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",1,1713.178,3.404,5832.012,18124,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",2,2244.765,2.473,5551.416,17252,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",3,1942.61,2.371,4605.372,14312,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",4,2784.396,2.355,6556.669,20376,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",5,3348.484,2.269,7598.284,23613,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",6,2343.874,2.386,5592.283,17379,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",7,2138.254,2.13,4553.886,14152,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",8,1972.857,2.228,4395.247,13659,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",9,874.609,2.474,2163.675,6724,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",10,704.385,3.558,2506.053,7788,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",11,20067.411,2.459,49354.898,153379,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S4L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-6M",1,885.549,4.138,3664.154,11387,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-6M",2,757.801,3.6,2728.406,8479,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-6M_S3R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
